GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
3.6005E+14,-73.87936382,40.79048618,25.32640726,0.272224
3.6005E+14,-73.88690522,40.7970602,10.64222117,2.728214
3.6005E+14,-73.88159576,40.79266264,38.94098171,2.55084
3.6005E+14,-73.87960894,40.78972331,25.73099562,2.420212
3.6005E+14,-73.88428066,40.78765191,26.28654643,1.006011
3.6005E+14,-73.87491252,40.78833531,32.79398651,0.481215
3.6005E+14,-73.88890466,40.78998667,28.5432153,0.059344
3.6005E+14,-73.88954567,40.79695403,32.50762595,2.643617
3.6005E+14,-73.8914336,40.79371536,21.96170853,0.624517
3.6005E+14,-73.88985331,40.79548897,59.10241487,13.142154
3.6005E+14,-73.8865266,40.78981949,57.24252306,2.457828
3.6005E+14,-73.88973724,40.79064514,22.33318064,1.576925
3.6005E+14,-73.88507175,40.78965928,20.81739563,0.796827
3.6005E+14,-73.88484934,40.79211296,27.70672335,0
3.6005E+14,-73.88627948,40.79469188,23.65219997,2.81265
3.6005E+14,-73.8843358,40.79558615,52.59500125,0.694964
3.6005E+14,-73.88879553,40.79199491,24.3044081,2.335329
3.6005E+14,-73.88664131,40.79220716,36.76140215,3.358703
3.6005E+14,-73.88440066,40.78972843,0,0
3.6005E+14,-73.88384249,40.79190104,0,0
3.6005E+14,-73.88414845,40.79389161,17.23190631,0
3.6005E+14,-73.88336272,40.78743572,8.517223679,1.245983
3.6005E+14,-73.85985324,40.81416483,8.562359567,2.081109
3.6005E+14,-73.86077349,40.81404647,7.982847599,2.217107
3.6005E+14,-73.86169908,40.81392206,6.667241163,2.335013
3.6005E+14,-73.86262473,40.81379683,8.180328321,2.060987
3.6005E+14,-73.85892257,40.81394495,7.141355366,2.167083
3.6005E+14,-73.85810678,40.81356025,2.991294131,0
3.6005E+14,-73.85751584,40.81224736,10.91443491,2.101916
3.6005E+14,-73.85843196,40.8121888,9.635584238,1.634163
3.6005E+14,-73.85935857,40.81208362,27.74945638,1.544686
3.6005E+14,-73.86029451,40.81198322,32.02065577,1.78771
3.6005E+14,-73.86121434,40.811937,4.60724433,1.149424
3.6005E+14,-73.86223988,40.81222831,10.58964567,0.749906
3.6005E+14,-73.86350177,40.81361252,6.112416589,2.643166
3.6005E+14,-73.86494532,40.81383438,5.624280552,0.761505
3.6005E+14,-73.85964216,40.80970843,9.6179201,0.218096
3.6005E+14,-73.85793222,40.80705074,2.792787345,1.120769
3.6005E+14,-73.85669716,40.81190661,4.814388727,1.002773
3.6005E+14,-73.85666531,40.81035679,7.004951225,0.686804
3.6005E+14,-73.85785385,40.81026022,1.794953935,1.79666
3.6005E+14,-73.8581005,40.80973319,1.493158747,1.771869
3.6005E+14,-73.85783199,40.80853367,13.22059513,1.272117
3.6005E+14,-73.85736896,40.80857491,51.30237569,1.737161
3.6005E+14,-73.85692216,40.80875549,0,1.310971
3.6005E+14,-73.85643445,40.80796633,0.801224238,0.618509
3.6005E+14,-73.85574241,40.80907107,16.14749631,1.749679
3.6005E+14,-73.85586565,40.80959061,1.812134034,2.136055
3.6005E+14,-73.85536216,40.8074243,9.118667645,1.634776
3.6005E+14,-73.85549048,40.8079643,9.40636582,2.282051
3.6005E+14,-73.85562863,40.80856663,16.7214089,2.29091
