GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
3.6061E+14,-74.04030852,40.69918118,34.81989682,8.492439
3.6061E+14,-74.04527132,40.68991149,37.26884696,3.358942
3.6061E+14,-73.98619655,40.71405482,8.421736683,6.990467
3.6061E+14,-73.98604856,40.71336118,7.629344065,5.457572
3.6061E+14,-73.98589441,40.71231257,8.057739928,4.315771
3.6061E+14,-73.98574273,40.71110714,11.68397948,8.972712
3.6061E+14,-73.98562836,40.71052976,5.634438136,0
3.6061E+14,-73.98557732,40.70993632,20.39859324,5.011595
3.6061E+14,-73.98181572,40.7057945,80.29615027,0
3.6061E+14,-73.98035526,40.71386947,7.236221501,4.701991
3.6061E+14,-73.98241553,40.71373939,8.086831409,5.026086
3.6061E+14,-73.98331481,40.71428093,7.301954243,4.432435
3.6061E+14,-73.9850819,40.71423017,7.456404227,0
3.6061E+14,-73.98451389,40.71349674,6.716362912,4.115799
3.6061E+14,-73.98441944,40.71278837,7.020084379,3.984863
3.6061E+14,-73.98427948,40.71186001,8.23911874,4.281695
3.6061E+14,-73.98358312,40.71106869,8.290573037,9.513568
3.6061E+14,-73.98195515,40.71117985,8.02100249,8.985649
3.6061E+14,-73.9826114,40.71079198,6.206190075,0
3.6061E+14,-73.98431125,40.71101092,7.742958326,7.574211
3.6061E+14,-73.98103434,40.71062202,10.7838965,0
3.6061E+14,-73.98324322,40.71061882,5.640214346,0
3.6061E+14,-73.98291097,40.7101251,24.75519931,4.288775
3.6061E+14,-73.98223252,40.71239174,7.359498495,5.133233
3.6061E+14,-73.98292882,40.71284367,8.969161579,4.445263
3.6061E+14,-73.98352585,40.71227917,9.557631021,4.533939
3.6061E+14,-73.98279468,40.71187114,9.376292028,4.561318
3.6061E+14,-73.98096547,40.71252741,6.295423585,4.296941
3.6061E+14,-73.9814011,40.71248163,8.673424986,4.629015
3.6061E+14,-73.9818413,40.71247799,8.812732287,4.099887
3.6061E+14,-73.97795099,40.71155843,15.45144365,0.083805
3.6061E+14,-73.97901865,40.71153042,5.212230077,0
3.6061E+14,-73.97766299,40.71282074,6.856550447,0
3.6061E+14,-73.97937937,40.71298162,8.316384813,8.397742
3.6061E+14,-73.97956374,40.71179335,8.941182229,0.042076
3.6061E+14,-74.02177216,40.68426647,397.6651325,0
3.6061E+14,-74.01257369,40.68547129,7.092905062,0
3.6061E+14,-74.0184175,40.69070631,13.16921108,2.375526
3.6061E+14,-74.01882988,40.69062302,22.22898649,0
3.6061E+14,-74.02193244,40.68532927,0,0.234452
