GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
360610238011016,-73.95646857,40.7547348,29.64397334,12.490732
360610084001000,-73.98296861,40.75352703,29.20474702,7.402561
360610092001007,-73.97693402,40.75317501,29.0718272,41.80456
360610009002001,-73.99991077,40.69682858,28.56752893,0
360610195001002,-73.97054157,40.80402343,28.52599677,0.015313
360610013001003,-74.01408413,40.71048499,27.67170216,0
360610240001002,-73.9289586,40.78995986,27.2948336,1.529272
360610007001002,-74.00922977,40.70776441,27.00030578,66.506927
360610143001028,-73.97292216,40.77413004,26.84606155,0
360610243021005,-73.93848095,40.83015796,26.24152363,3.813638
360610099001020,-74.00901814,40.74819289,25.99826961,7.204741
360610005001004,-74.02397378,40.68747694,25.85999041,3.915698
360610006006000,-73.98746004,40.71092864,25.81335301,5.77224
360610317044002,-74.01847125,40.70874715,25.51123421,0.037131
360610092001009,-73.97587834,40.75263386,25.39353699,56.529371
360610005001017,-74.01410776,40.69187827,25.27201223,2.693331
360610005001023,-74.02260659,40.68876749,25.05381971,2.593426
360610143001037,-73.97469719,40.77576738,24.99025758,0
360610002022008,-73.98291097,40.7101251,24.75519931,4.288775
360610104001006,-73.97966954,40.75917605,24.66418546,153.469283
360610013002000,-74.0120013,40.70824914,24.57569542,21.950339
360610225001001,-73.95725249,40.82508617,24.47034923,26.540087
360610238011015,-73.96034319,40.75079869,24.4472333,0
360610317031001,-74.01537048,40.71297281,24.38803845,76.12124
360610125001000,-73.98208091,40.76018971,24.19368239,78.665047
360610096001005,-73.9813295,40.75578439,24.19274184,37.559031
360610137006000,-73.97933496,40.76394195,23.77086182,53.183167
360610015021006,-74.00811721,40.70879107,23.75277092,68.673621
360610131001003,-73.98161847,40.7608172,23.70888613,71.175172
360610104001003,-73.97767028,40.76078787,23.63648259,64.845583
360610009001000,-74.01076355,40.70558312,23.5342801,66.294743
360610009001002,-74.01268378,40.70586163,23.42086585,80.122549
360610104001002,-73.97721827,40.76141512,23.3856127,38.065104
360610137006001,-73.97978908,40.76331724,23.38526766,51.157883
360610131001002,-73.98116213,40.761442,23.31134934,108.825326
360610025001005,-73.99867933,40.71074582,23.25703008,11.334222
360610104001004,-73.97813201,40.760165,23.19942992,94.302138
360610024001008,-73.97490399,40.72296972,23.18747239,5.556026
360610044007000,-73.97940954,40.73169277,23.14112277,11.677194
360610013001002,-74.01327535,40.70983351,23.0599109,0
360610007001011,-74.00848616,40.70624343,23.02367016,118.74679
360610131001001,-73.98070571,40.76206685,23.00587609,86.377867
360610096001006,-73.98178088,40.75515605,22.97893636,42.102354
360610125001006,-73.9829924,40.75893885,22.75663137,53.936402
360610119002004,-73.9863699,40.75789846,22.75352091,120.980133
360610104001005,-73.97921001,40.75980285,22.68135735,44.978799
360610113001002,-73.98861615,40.75631058,22.66150218,75.157161
360610119001004,-73.98469231,40.75638476,22.62621919,50.589332
360610119001001,-73.98430585,40.75703328,22.59364043,44.243164
360610104001000,-73.97629842,40.76266447,22.55438899,30.164663
360610084002005,-73.98518005,40.74990841,22.45672651,24.822864
360610125001003,-73.98252973,40.75956017,22.44310561,62.175051
360610319001003,-74.01490059,40.70114688,22.3913288,1.773924
360610192003001,-73.93017696,40.79828394,22.36939691,2.704711
360610096001004,-73.98086621,40.75640541,22.32457842,40.258982
360610131001000,-73.9802488,40.76269153,22.25652601,90.488801
360610076001005,-73.98697991,40.74739366,22.23514508,38.844235
360610005001001,-74.01882988,40.69062302,22.22898649,0
360610137005000,-73.978863,40.7645913,22.20815986,46.266047
360610009001001,-74.01186702,40.70566598,22.12501799,85.899376
