GEOID,XCoord,YCoord,RoadbedDist,BlockHeight
360050001001000,-73.87936382,40.79048618,25.32640726,0.272224
360050001001001,-73.88690522,40.7970602,10.64222117,2.728214
360050001001002,-73.88159576,40.79266264,38.94098171,2.55084
360050001001003,-73.87960894,40.78972331,25.73099562,2.420212
360050001001004,-73.88428066,40.78765191,26.28654643,1.006011
360050001001006,-73.87491252,40.78833531,32.79398651,0.481215
360050001001007,-73.88890466,40.78998667,28.5432153,0.059344
360050001001008,-73.88954567,40.79695403,32.50762595,2.643617
360050001001009,-73.8914336,40.79371536,21.96170853,0.624517
360050001001010,-73.88985331,40.79548897,59.10241487,13.142154
360050001001011,-73.8865266,40.78981949,57.24252306,2.457828
360050001001012,-73.88973724,40.79064514,22.33318064,1.576925
360050001001013,-73.88507175,40.78965928,20.81739563,0.796827
360050001001014,-73.88484934,40.79211296,27.70672335,0
360050001001015,-73.88627948,40.79469188,23.65219997,2.81265
360050001001016,-73.8843358,40.79558615,52.59500125,0.694964
360050001001018,-73.88879553,40.79199491,24.3044081,2.335329
360050001001019,-73.88664131,40.79220716,36.76140215,3.358703
360050001001020,-73.88440066,40.78972843,0,0
360050001001022,-73.88384249,40.79190104,0,0
360050001001023,-73.88414845,40.79389161,17.23190631,0
360050001001024,-73.88336272,40.78743572,8.517223679,1.245983
360050002001000,-73.85985324,40.81416483,8.562359567,2.081109
360050002001001,-73.86077349,40.81404647,7.982847599,2.217107
360050002001002,-73.86169908,40.81392206,6.667241163,2.335013
360050002001003,-73.86262473,40.81379683,8.180328321,2.060987
360050002001004,-73.85892257,40.81394495,7.141355366,2.167083
360050002001005,-73.85810678,40.81356025,2.991294131,0
360050002002000,-73.85751584,40.81224736,10.91443491,2.101916
360050002002001,-73.85843196,40.8121888,9.635584238,1.634163
360050002002002,-73.85935857,40.81208362,27.74945638,1.544686
360050002002003,-73.86029451,40.81198322,32.02065577,1.78771
360050002002004,-73.86121434,40.811937,4.60724433,1.149424
360050002002005,-73.86223988,40.81222831,10.58964567,0.749906
360050002002006,-73.86350177,40.81361252,6.112416589,2.643166
360050002002007,-73.86494532,40.81383438,5.624280552,0.761505
360050002002008,-73.85964216,40.80970843,9.6179201,0.218096
360050002002009,-73.85793222,40.80705074,2.792787345,1.120769
360050002002010,-73.85669716,40.81190661,4.814388727,1.002773
360050002003000,-73.85666531,40.81035679,7.004951225,0.686804
360050002003001,-73.85785385,40.81026022,1.794953935,1.79666
360050002003002,-73.8581005,40.80973319,1.493158747,1.771869
360050002003003,-73.85783199,40.80853367,13.22059513,1.272117
360050002003004,-73.85736896,40.80857491,51.30237569,1.737161
360050002003005,-73.85692216,40.80875549,0,1.310971
360050002003006,-73.85643445,40.80796633,0.801224238,0.618509
360050002003007,-73.85574241,40.80907107,16.14749631,1.749679
360050002003008,-73.85586565,40.80959061,1.812134034,2.136055
360050002003009,-73.85536216,40.8074243,9.118667645,1.634776
360050002003010,-73.85549048,40.8079643,9.40636582,2.282051
360050002003011,-73.85562863,40.80856663,16.7214089,2.29091
360050002003012,-73.85514679,40.80659909,6.243892512,1.150041
360050002003015,-73.85698315,40.80665268,0,1.205076
360050002003016,-73.8571312,40.80733794,6.590067179,1.288347
360050002003017,-73.85752726,40.80776037,0.342215485,1.22414
360050002003018,-73.85756754,40.80628163,4.201156327,1.581699
360050002003019,-73.85771572,40.80649029,3.031236708,2.048458
360050002003020,-73.85786175,40.80673206,0,0.3688
360050002003021,-73.85516381,40.80594014,10.81546314,2.066592
360050002003023,-73.85621688,40.80635719,0,1.403482
360050002003025,-73.85732592,40.80607002,0,1.644922
360050002003026,-73.8573095,40.8058657,0,2.135369
360050002003027,-73.8571722,40.80566239,0,1.752997
360050002003028,-73.85706522,40.80532336,59.02981312,0.284211
360050004001000,-73.85703496,40.81455209,4.671026508,2.535437
360050004001001,-73.85798544,40.8145013,17.0816944,1.96314
360050004001002,-73.85895056,40.81489874,19.50014485,0.676817
360050004001003,-73.8573862,40.8132112,0.608926962,0
360050004001004,-73.85648062,40.81263843,9.466417418,1.206808
360050004001005,-73.8558427,40.81117016,3.917076391,0
360050004002000,-73.8528056,40.8152308,21.78834292,0.065262
360050004002001,-73.85448714,40.81469676,14.99922677,0
360050004002003,-73.8523619,40.81220571,27.9432164,0.924434
360050004002004,-73.85550222,40.81256602,4.608765826,1.688522
360050004002005,-73.85443723,40.81245992,65.307014,1.749509
360050004002006,-73.85397792,40.81061024,6.844570603,1.530424
360050004002007,-73.85501587,40.81046702,7.120920249,1.686908
360050004003000,-73.85041138,40.8089839,20.19703329,0.658675
360050004003001,-73.85142675,40.80879521,14.99472788,1.7061
360050004003002,-73.85245125,40.80868167,7.008032726,1.38689
360050004003003,-73.85352658,40.80888516,5.68546035,1.323165
360050004003004,-73.85453114,40.80914248,5.069756014,0.804828
360050004003005,-73.85412214,40.80762407,11.95088273,2.347527
360050004003006,-73.85364108,40.80710328,6.348184247,3.236314
360050004003007,-73.85286839,40.8057882,48.31300653,2.708802
360050004003008,-73.85124026,40.80571488,59.73337069,1.480149
360050004003009,-73.85183485,40.80748749,26.59167416,0
360050004003012,-73.84869675,40.8062958,118.2414944,0
360050004003013,-73.85540867,40.80508923,167.8814364,0.412963
360050004004000,-73.84737427,40.81387202,7.061400554,1.639467
360050004004001,-73.84840006,40.81388681,5.799348076,1.534854
360050004004002,-73.84943727,40.81407834,4.188527714,1.352515
360050004004006,-73.84848944,40.81281076,8.241766761,0
360050004004007,-73.84699526,40.81230971,5.930378862,1.545033
360050004004008,-73.84640479,40.81282132,26.21265903,0
360050004004009,-73.84672504,40.81115124,3.21697759,0
360050016001000,-73.85989831,40.82070191,10.19059602,3.352847
