STATE,COUNTY,VOLNODRSCOREMALE1112,VOLNODRSCOREFEMALE1112,VOLNODRSCOREMALE1826,VOLNODRSCOREFEMALE1826,VOLDRSCOREMALE1112,VOLDRSCOREFEMALE1112,VOLDRSCOREMALE1826,VOLDRSCOREFEMALE1826,NORMNODRSCOREMALE1112,NORMNODRSCOREFEMALE1112,NORMNODRSCOREMALE1826,NORMNODRSCOREFEMALE1826,NORMDRSCOREMALE1112,NORMDRSCOREFEMALE1112,NORMDRSCOREMALE1826,NORMDRSCOREFEMALE1826,VOLNODRSCOREBOTH1112,VOLNODRSCOREBOTH1826,VOLDRSCOREBOTH1112,VOLDRSCOREBOTH1826,NORMNODRSCOREBOTH1112,NORMNODRSCOREBOTH1826,NORMDRSCOREBOTH1112,NORMDRSCOREBOTH1826
1,37,120.5402393,113.0340706,146.5910603,114.3586886,0.017602255,0.016506143,0.021406405,0.016699575,0.001072264,0.001051443,0.001107521,0.000885117,0.001792544,0.001725807,0.002235009,0.001792059,116.7871549,130.4748744,0.017054199,0.01905299,0.001061854,0.000996319,0.001759175,0.002013534
1,39,537.5159831,507.7772788,450.9630378,428.7699749,0.078492404,0.074149719,0.065853247,0.062612438,0.004847788,0.004765086,0.003407104,0.003327653,0.008014067,0.007765623,0.006875633,0.006722505,522.6466309,439.8665064,0.076321062,0.064232843,0.004806437,0.003367379,0.007889845,0.006799069
1,41,219.6050413,199.2293158,188.3622622,177.0424147,0.032068493,0.029093066,0.027506171,0.025853156,0.001969251,0.001862346,0.00142311,0.001372082,0.003270649,0.003044648,0.002871876,0.002775035,209.4171786,182.7023385,0.03058078,0.026679664,0.001915798,0.001397596,0.003157648,0.002823455
1,43,1156.445002,1085.245963,1027.855222,952.3410896,0.168873394,0.158476338,0.150095681,0.1390685,0.010451906,0.010197762,0.007765625,0.007395068,0.017248851,0.016601251,0.015671252,0.014932894,1120.845483,990.0981559,0.163674866,0.144582091,0.010324834,0.007580346,0.016925051,0.015302073
1,45,697.78865,673.8515636,830.5717329,639.526685,0.101896707,0.098401221,0.12128676,0.093388827,0.006298984,0.00632747,0.006275114,0.004964938,0.010405429,0.010306662,0.012663358,0.01002749,685.8201068,735.049209,0.100148964,0.107337793,0.006313227,0.005620026,0.010356046,0.011345424
1,47,656.1523426,629.5136792,572.4975924,640.7299585,0.095816639,0.091926647,0.0836007,0.093564538,0.005921986,0.00591035,0.004325319,0.004974286,0.009784191,0.009628265,0.008728616,0.010046359,642.8330109,606.6137755,0.093871643,0.088582619,0.005916168,0.004649802,0.009706228,0.009387488
1,49,1064.988487,1005.315981,880.1694736,850.3332202,0.155518179,0.14680432,0.128529421,0.124172491,0.009623809,0.009445801,0.006649833,0.00660261,0.015884266,0.015378273,0.013419553,0.013333256,1035.152234,865.2513469,0.151161249,0.126350956,0.009534805,0.006626222,0.01563127,0.013376404
1,51,1218.616661,1209.95459,1270.13319,1148.864192,0.177952199,0.176687294,0.185475057,0.167766383,0.011014842,0.011370988,0.009596077,0.008921778,0.018176489,0.018509371,0.019365157,0.018014674,1214.285625,1209.498691,0.177319747,0.17662072,0.011192915,0.009258927,0.01834293,0.018689915
1,53,498.2367066,538.6937031,549.2477022,451.6232107,0.072756528,0.078664384,0.080205564,0.065949651,0.004492132,0.005055939,0.004149662,0.003505191,0.007427997,0.008238663,0.008374136,0.007080878,518.4652049,500.4354564,0.075710456,0.073077608,0.004774036,0.003827426,0.00783333,0.007727507
1,55,1416.083121,1390.636482,1399.565127,1357.600495,0.206787839,0.203071916,0.204375749,0.198247736,0.01280281,0.013070797,0.010573958,0.010543367,0.021122805,0.021273916,0.021338548,0.021287976,1403.359802,1378.582811,0.204929878,0.201311742,0.012936803,0.010558662,0.02119836,0.021313262
1,57,230.992404,220.0145472,234.6516896,208.5792797,0.033731367,0.032128293,0.034265726,0.030458423,0.002072358,0.002057888,0.001772834,0.001617079,0.003440555,0.003362675,0.00357763,0.003269581,225.5034756,221.6154846,0.03292983,0.032362074,0.002065123,0.001694957,0.003401615,0.003423605
1,59,489.084618,473.2793701,432.4491461,415.3267941,0.071420067,0.069112058,0.0631497,0.060649357,0.004409264,0.004440538,0.003267228,0.003223218,0.007291442,0.007237783,0.00659336,0.006511695,481.181994,423.8879701,0.070266062,0.061899528,0.004424901,0.003245223,0.007264613,0.006552528
1,61,391.7860833,362.2828124,305.4456286,294.1649662,0.057211753,0.052903448,0.044603626,0.042956333,0.003528271,0.003396311,0.002307695,0.00228196,0.005839691,0.005539467,0.004656994,0.004611694,377.0344479,299.8052974,0.0550576,0.043779979,0.003462291,0.002294828,0.005689579,0.004634344
1,63,131.6787229,119.2038965,133.0648147,111.3493762,0.019228785,0.017407111,0.019431194,0.016260131,0.001173118,0.001109488,0.001005328,0.000861739,0.001958736,0.001820209,0.00202878,0.001744868,125.4413097,122.2070955,0.018317948,0.017845662,0.001141303,0.000933533,0.001889473,0.001886824
1,65,214.1487662,212.3105794,212.7701261,228.8542609,0.031271724,0.031003297,0.031070404,0.033419139,0.001919847,0.001985411,0.001607515,0.001774588,0.003189238,0.003244799,0.003244012,0.003587523,213.2296728,220.8121935,0.031137511,0.032244771,0.001952629,0.001691051,0.003217019,0.003415767
1,67,248.8361529,228.7687212,202.9040315,194.4311159,0.036337055,0.033406647,0.029629677,0.028392394,0.002233925,0.002140245,0.001532975,0.001507168,0.003706794,0.003496619,0.003093588,0.003047716,238.802437,198.6675737,0.034871851,0.029011036,0.002187085,0.001520072,0.003601707,0.003070652
1,69,1627.055502,1492.617537,1302.534719,1338.592584,0.237595722,0.217964009,0.190206589,0.195472048,0.014713068,0.014030208,0.009840876,0.010395702,0.024270637,0.022834289,0.019859168,0.020989903,1559.836519,1320.563651,0.227779866,0.192839318,0.014371638,0.010118289,0.023552463,0.020424536
1,71,744.4153952,680.2797848,642.2407331,612.1633434,0.108705519,0.099339922,0.093785154,0.089393012,0.006721167,0.006387945,0.00485224,0.004752363,0.011101128,0.010405018,0.009791959,0.009598391,712.34759,627.2020383,0.104022721,0.091589083,0.006554556,0.004802302,0.010753073,0.009695175
1,73,9277.824132,9120.184657,9354.173735,9717.058907,1.354822449,1.331802666,1.365971632,1.418963041,0.083987261,0.08578839,0.070672409,0.075484663,0.138424601,0.139540791,0.142618931,0.15237696,9199.004394,9535.616321,1.343312558,1.392467337,0.084887825,0.073078536,0.138982696,0.147497945
1,75,203.7754049,198.7607976,147.2471047,154.9969523,0.029756922,0.029024649,0.021502206,0.022633901,0.001825921,0.001857938,0.001112477,0.00120082,0.003034461,0.003037479,0.002245011,0.002429329,201.2681013,151.1220285,0.029390786,0.022068053,0.00184193,0.001156649,0.00303597,0.00233717
1,77,1237.898346,1211.90932,1714.363823,1829.718623,0.180767866,0.176972739,0.250345184,0.26719022,0.011189429,0.011389378,0.012952317,0.014211064,0.018464183,0.018539279,0.026138144,0.028691504,1224.903833,1772.041223,0.178870303,0.258767702,0.011289403,0.01358169,0.018501731,0.027414824
1,79,444.1902082,433.8901454,425.3067597,411.1441733,0.064864224,0.063360126,0.062106711,0.060038577,0.004002766,0.004069975,0.003213267,0.003190725,0.006621591,0.006635104,0.006484463,0.006446105,439.0401768,418.2254665,0.064112175,0.061072644,0.00403637,0.003201996,0.006628348,0.006465284
1,81,2229.18262,2037.584194,5254.373687,4796.691265,0.325523163,0.297544421,0.767285877,0.700451411,0.020165052,0.019157114,0.039697707,0.037260291,0.033254727,0.031172616,0.080111101,0.075218134,2133.383407,5025.532476,0.311533792,0.733868644,0.019661083,0.038478999,0.032213672,0.077664618
1,83,1357.12978,1303.900519,1137.288604,1054.199025,0.198178998,0.190406034,0.166076023,0.153942615,0.012269014,0.012254807,0.008592413,0.008186362,0.020243186,0.019946802,0.017339734,0.016530181,1330.515149,1095.743815,0.194292516,0.160009319,0.012261911,0.008389387,0.020094994,0.016934957
1,85,148.5681089,143.9826735,136.1874332,138.4801509,0.021695109,0.021025507,0.019887184,0.020221985,0.001326044,0.0013426,0.00102892,0.001072507,0.002210736,0.00219934,0.002076389,0.00217032,146.2753912,137.3337921,0.021360308,0.020054584,0.001334322,0.001050713,0.002205038,0.002123355
