STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
6,31,299570,15431,15108,83270,67042,7856,6193,125056,59874,0,1,1,1,0,1,1,1,1,0
48,187,310530,15990,10933,72740,74497,7713,5448,127037,39761,0,1,1,0,0,1,1,1,0,0
48,85,1879170,96678,58592,434947,451395,45932,28409,783696,140905,0,10,6,8,8,9,6,8,3,0
35,13,428414,22025,27478,105345,108354,11613,13325,177771,100759,0,2,2,1,1,2,2,1,2,0
4,27,411262,21124,20766,104305,99101,9834,8694,165983,82807,0,1,2,1,1,1,1,1,2,0
1,117,421244,21636,13446,100288,105589,9839,6849,188348,45792,0,2,1,1,1,1,1,1,1,0
48,135,314924,16169,14790,77526,75871,7954,6800,117272,40103,0,1,1,1,1,1,1,0,0,0
24,21,495182,25378,18280,120219,123243,11735,9018,228763,57375,0,2,1,1,1,2,1,2,1,0
18,141,538282,27486,25849,129388,138314,13621,13554,237498,84674,0,2,2,2,2,2,2,2,2,0
49,53,320490,16340,11951,75525,76598,7582,6200,127701,53043,0,1,1,1,1,1,1,1,1,0
55,59,336366,17146,14517,82710,85062,8552,6867,153688,55078,0,1,1,1,1,1,1,1,1,0
48,257,236700,12040,7487,54824,56944,5647,3656,91841,30638,0,1,0,0,0,0,0,0,0,0
18,89,971692,49367,37355,236730,253084,23646,18732,432819,169894,0,5,4,4,4,4,4,4,4,0
37,135,283592,14401,21603,66626,73522,7439,11997,127707,28381,0,1,2,0,0,1,2,1,0,0
37,101,382900,19434,12191,89688,92624,9174,6091,155153,55018,0,1,1,1,1,1,1,1,1,0
21,15,257072,13038,8299,62125,63622,6235,3952,116134,29509,0,1,0,0,0,1,0,0,0,0
51,41,678018,34353,25288,159958,171957,16206,12703,304249,79247,0,3,2,2,2,3,2,3,2,0
6,39,309394,15670,13848,73776,79237,7295,6793,131126,78599,0,1,1,1,1,1,1,1,2,0
34,27,996846,50460,33373,243845,254557,25378,15693,465335,106622,0,5,3,4,4,5,3,5,2,0
49,35,2242708,113284,93312,549294,543534,54634,46029,948125,225777,0,11,10,10,10,11,10,10,6,0
48,157,1482474,74865,47937,336036,347695,36822,23172,594127,122465,0,7,5,6,6,7,5,6,3,0
13,15,207614,10475,7159,50634,51360,4957,3598,85391,33945,0,0,0,0,0,0,0,0,0,0
18,127,335582,16883,13309,82108,84808,8342,6547,152272,44889,0,1,1,1,1,1,1,1,1,0
48,339,1112406,55958,35850,256388,262468,27195,16951,439444,125525,0,5,3,4,4,5,3,4,3,0
13,139,393274,19769,15279,94770,95783,9735,7451,154327,58322,0,1,1,1,1,1,1,1,1,0
55,9,520802,26167,20423,127732,128694,12647,10002,238491,80939,0,2,2,2,2,2,2,2,2,0
24,27,634466,31865,20786,150736,157686,15280,10393,293279,63848,0,3,2,2,2,3,2,3,1,0
17,37,209056,10471,18372,52024,52521,5514,9206,95895,29002,0,0,1,0,0,0,1,0,0,0
9,1,1888354,94574,68584,458778,482483,45394,33714,842220,270892,0,9,7,8,9,9,7,9,7,0
27,163,506234,25340,15933,123204,125672,12729,7685,237674,57720,0,2,1,2,2,2,1,2,1,0
39,89,344396,17238,12610,83017,86648,8645,6269,157075,57852,0,1,1,1,1,1,1,1,1,0
22,103,507204,25373,15793,119880,126339,12823,7540,215956,79971,0,2,1,1,2,2,1,2,2,0
34,37,285044,14215,10160,72087,73012,6879,4932,134326,36308,0,1,0,0,0,1,0,1,0,0
48,303,606274,30215,44854,145242,149433,15060,21553,245992,85312,0,2,4,2,2,3,4,2,2,0
39,17,755074,37619,38146,183275,190722,18575,19222,345923,113423,0,3,4,3,3,3,4,3,3,0
48,439,4033744,200896,157944,953946,993333,98363,79164,1591027,503335,0,21,17,18,19,21,17,18,14,0
48,355,722700,35933,31619,174952,180636,17619,15705,289852,119970,0,3,3,3,3,3,3,2,3,0
48,251,326548,16236,11780,78490,79135,7745,5767,126983,44458,0,1,1,1,1,1,1,1,1,0
24,13,335312,16665,12717,82773,84922,8215,6130,159159,42390,0,1,1,1,1,1,1,1,1,0
13,45,232522,11530,13139,55700,58096,5983,6839,95157,37479,0,0,1,0,0,1,1,0,0,0
42,29,1032624,51143,38923,252878,258918,24936,19021,477929,118925,0,5,4,4,4,5,4,5,3,0
17,91,220016,10886,9863,54823,56529,5454,4882,102137,39684,0,0,0,0,0,0,0,0,0,0
26,115,298416,14761,10235,73787,76173,7357,4777,139592,46813,0,1,0,1,1,1,0,1,1,0
6,111,1699476,84025,70985,417212,426082,40321,34785,739271,257537,0,8,7,8,7,8,7,8,7,0
37,147,354440,17522,28874,82393,93129,8922,15633,151286,52026,0,1,3,1,1,1,3,1,1,0
26,5,231096,11422,7684,56473,57114,5668,3723,104765,36510,0,0,0,0,0,0,0,0,0,0
34,35,667502,32935,22154,161916,169724,15809,10611,308843,67998,0,3,2,2,2,3,2,3,1,0
13,57,483378,23825,15857,113842,116858,11386,7751,199180,50985,0,2,1,1,1,2,1,1,1,0
48,329,325130,16023,13376,77890,77859,8184,6466,125105,32432,0,1,1,1,1,1,1,1,0,0
26,121,346816,17067,12994,85545,86820,8668,6309,155386,73400,0,1,1,1,1,1,1,1,1,0
39,3,207484,10207,9285,52882,51810,4768,4135,94706,39777,0,0,0,0,0,0,0,0,0,0
34,15,584660,28734,22458,141050,149945,14584,10712,273474,82342,0,2,2,2,2,2,2,2,2,0
55,105,323240,15880,11709,79120,81747,7299,6052,147903,56115,0,1,1,1,1,1,1,1,1,0
48,121,1612360,79186,60907,370908,383522,39366,31189,654801,134621,0,8,6,7,7,8,6,7,3,0
26,163,3498732,171708,148156,850377,918074,84594,74454,1578114,776389,0,18,16,16,17,18,16,18,21,0
26,147,319174,15662,11267,79261,80775,7125,5462,147579,60251,0,1,1,1,1,1,1,1,1,0
18,3,740808,36318,29350,177634,188059,18152,14794,319702,114039,0,3,3,3,3,3,3,3,3,0
55,101,390280,19112,14020,96386,98756,9158,6647,176965,63931,0,1,1,1,1,1,1,1,1,0
48,367,258882,12671,8680,61452,62007,6264,4090,103343,33888,0,1,0,0,0,1,0,0,0,0
48,29,3857360,188524,171922,914563,943718,92193,82566,1551168,584402,0,20,18,18,18,20,18,18,16,0
39,109,209358,10225,6810,51250,52724,5167,3146,95861,34333,0,0,0,0,0,0,0,0,0,0
6,83,892340,43550,59037,219860,219042,22201,28527,374330,148173,0,4,6,3,3,4,6,3,4,0
27,37,834972,40738,26429,202466,209161,20190,12422,388923,99881,0,4,2,3,3,4,2,4,2,0
6,113,431604,21055,35691,102062,107321,10810,18641,189713,61137,0,1,3,1,1,2,4,1,1,0
24,25,502064,24490,18059,122043,127605,11940,8583,238113,70098,0,2,1,1,2,2,1,2,1,0
42,11,829624,40416,34764,203553,210196,19570,17369,377964,141688,0,4,3,3,3,4,3,4,3,0
34,41,213234,10381,7931,52010,54951,5186,3981,98543,28922,0,0,0,0,0,0,0,0,0,0
26,161,729418,35502,55990,176733,181072,17573,27138,334787,85604,0,3,6,3,3,3,5,3,2,0
48,39,708390,34460,23976,170918,167441,17009,11040,279234,74179,0,3,2,2,2,3,2,2,1,0
48,309,495868,24119,31245,118349,124872,11602,15763,200802,76551,0,2,3,1,1,2,3,1,2,0
17,99,221284,10763,7934,55965,56056,5336,3729,102701,42033,0,0,0,0,0,0,0,0,1,0
17,43,1858736,90368,70158,456419,473784,43592,34192,858412,221892,0,9,7,8,8,9,7,9,6,0
34,25,1251692,60834,44044,305404,322608,28690,21869,576552,160948,0,6,4,5,5,6,4,6,4,0
36,75,237974,11555,12154,60316,60225,5925,5819,111463,48928,0,0,1,0,0,1,1,0,1,0
6,55,284332,13790,10552,69809,70857,7068,5116,127768,46553,0,1,1,0,0,1,0,1,1,0
36,103,2985166,144745,116975,736108,761600,71604,56952,1383142,424990,0,15,12,14,14,15,12,16,11,0
34,21,742046,35980,35869,181671,189172,17769,17462,332715,106557,0,3,3,3,3,3,3,3,2,0
48,201,9179856,445057,373943,2204684,2229128,216082,183207,3451920,1237288,0,47,41,44,43,47,41,40,34,0
20,209,327662,15872,12653,79648,82114,8272,6301,128486,59950,0,1,1,1,1,1,1,1,1,0
36,5,2911440,140743,142909,676908,760554,69266,71089,1263246,777357,0,14,15,13,14,15,15,14,21,0
27,145,311304,15046,19685,77421,75840,7827,9375,145515,45410,0,1,2,1,1,1,1,1,1,0
48,167,658862,31808,23414,155618,159118,15194,11454,265644,84658,0,3,2,2,2,3,2,2,2,0
1,97,829672,40046,33855,197775,216382,20067,16869,357440,148055,0,4,3,3,3,4,3,3,4,0
26,81,1284346,61985,53974,309794,319515,29906,27080,576069,197868,0,6,5,5,5,6,5,6,5,0
48,491,1057436,51031,32330,241523,249098,24787,15981,434694,101871,0,5,3,4,4,5,3,4,2,0
48,183,247490,11937,10943,60539,62741,6316,5094,98131,41147,0,0,1,0,0,1,0,0,1,0
42,17,1252798,60389,40533,307551,318701,28241,19929,593011,161501,0,6,4,5,5,5,4,6,4,0
39,169,232940,11220,9802,57360,58239,5438,4843,98973,37016,0,0,0,0,0,0,0,0,0,0
36,27,588946,28337,28362,146971,149078,13882,14062,273115,94161,0,2,3,2,2,2,3,2,2,0
5,7,516582,24843,16866,121519,123608,12322,8459,215988,71396,0,2,1,1,1,2,1,2,1,0
37,85,261762,12587,10053,62879,63821,5823,5054,109718,41847,0,1,0,0,0,0,0,0,1,0
34,31,1015890,48829,43887,246463,260358,23327,21889,430880,189224,0,4,4,4,4,4,4,4,5,0
12,97,672030,32266,26046,153739,158416,15628,12844,249189,107446,0,3,2,2,2,3,2,2,2,0
48,27,680822,32684,35185,164846,165751,16817,16031,290786,96972,0,3,3,2,2,3,3,2,2,0
27,3,691914,33206,23065,170699,170396,16691,11091,319574,90480,0,3,2,2,2,3,2,3,2,0
48,423,450580,21616,19214,106082,113935,10527,9876,179292,71459,0,2,1,1,1,2,2,1,1,0
26,65,576102,27600,49667,138191,146682,13416,25402,263640,93432,0,2,5,2,2,2,5,2,2,0
51,550,475880,22794,18320,113776,119422,11572,8677,211618,59321,0,2,1,1,1,2,1,2,1,0
45,91,517052,24749,18284,118104,127537,11904,9492,217605,69399,0,2,1,1,2,2,1,2,1,0
29,99,448452,21462,14948,110619,111865,10538,7309,200667,62025,0,2,1,1,1,2,1,1,1,0
20,91,1168902,55703,36769,279858,292788,27262,17883,534415,113652,0,5,3,5,5,5,3,5,3,0
37,183,2093582,99677,78009,486043,512193,48005,38509,890524,213730,0,10,8,9,9,10,8,10,5,0
42,45,1126804,53630,49417,271001,291855,26331,24256,519684,170908,0,5,5,5,5,5,5,5,4,0
47,179,254880,12125,13255,61559,64558,6193,7038,111952,45272,0,1,1,0,0,1,1,0,1,0
42,27,322928,15341,34653,83581,75931,7620,15243,147657,35070,0,1,3,1,1,1,3,1,0,0
48,113,5149968,244502,212255,1238523,1274081,120240,104425,1926269,758239,0,26,23,24,24,26,23,22,21,0
1,15,229222,10875,9468,55943,60011,5332,4652,103004,46177,0,0,0,0,0,0,0,0,1,0
55,117,230854,10952,7045,57259,57454,4999,3440,105953,34058,0,0,0,0,0,0,0,0,0,0
22,73,313966,14886,14647,75091,81553,7092,7485,127386,58371,0,1,1,1,1,1,1,1,1,0
36,93,309106,14655,12266,75595,79069,7329,6084,145486,57697,0,1,1,1,1,1,1,1,1,0
13,67,1496300,70812,56291,351982,376524,35359,27891,613678,157941,0,7,6,6,6,7,6,6,4,0
5,143,456098,21574,28099,110137,109818,11051,13597,189438,64047,0,2,2,1,1,2,2,1,1,0
39,93,612730,28978,22538,150039,154078,14199,10682,281673,109885,0,2,2,2,2,2,2,2,2,0
40,17,273064,12912,8710,63793,65701,6701,4514,115299,33038,0,1,0,0,0,1,0,0,0,0
10,1,349654,16517,16131,82691,88889,8093,8044,157748,67719,0,1,1,1,1,1,1,1,1,0
29,189,1997162,94251,74604,473891,526598,46398,36935,919419,275442,0,9,8,9,9,9,8,10,7,0
4,13,8485994,400230,334826,2022006,2066454,195836,162936,3515248,1336950,0,43,37,40,40,42,36,41,37,0
9,3,1784778,84167,68667,434693,461308,40534,32875,842933,319259,0,8,7,8,8,8,7,9,8,0
36,109,209742,9888,23878,50976,53499,4998,11885,97638,27097,0,0,2,0,0,0,2,0,0,0
37,51,654254,30816,36213,159762,166456,15111,15919,289417,111197,0,3,3,2,2,3,3,2,2,0
55,133,796848,37517,24954,194594,200856,17451,12269,379623,96975,0,3,2,3,3,3,2,4,2,0
37,1,319376,15033,12889,74261,82098,7766,6829,134055,56058,0,1,1,1,1,1,1,1,1,0
17,19,416838,19614,41518,103158,103316,9633,19479,193195,51385,0,1,4,1,1,1,4,1,1,0
37,81,1042660,49060,47015,242471,269192,23812,24989,445131,161630,0,5,5,4,4,4,5,4,4,0
48,381,265002,12469,10940,63254,65371,5678,5610,112471,32759,0,1,1,0,0,0,1,0,0,0
