STATE,COUNTY,STATENAME,TOTAL,NUMM1112,NUMF1112,NUMM1826,NUMF1826,PPM1112,PPF1112,PPM1826,PPF1826,INITM1112,INITF1112,INITM1826,INITF1826
37,101,NC,3182114,0.021664488,0.021174766,0.012372185,0.012576786,0.582593792,0.647107106,0.118541952,0.195834504,0.487114809,0.395024313,0.359873124,0.4207404
37,103,NC,182020,0.000883895,0.000923746,0.000749468,0.000733643,0.415541819,0.493521969,0.131370881,0.203548557,0.248530768,0.233112241,0.209748787,0.287850177
37,105,NC,1059686,0.006422165,0.006458521,0.004589421,0.004743927,0.51860582,0.592692122,0.14185588,0.238659305,0.457974556,0.362032181,0.337156448,0.43596307
37,107,NC,1059430,0.006138272,0.005840591,0.004193989,0.004365892,0.495800514,0.536114801,0.122344524,0.209718384,0.352260404,0.277710755,0.286099287,0.325943635
37,109,NC,1422760,0.008393982,0.008110765,0.005376917,0.005336754,0.504858337,0.554374764,0.112897281,0.179555376,0.361385857,0.279064337,0.284967024,0.331913061
37,111,NC,810192,0.004352361,0.004259027,0.003317248,0.00305544,0.459695343,0.511205721,0.129501645,0.181342708,0.325140125,0.244884929,0.251655912,0.310757542
37,113,NC,611152,0.002894639,0.002807626,0.002170384,0.002088801,0.405301545,0.446748803,0.101093801,0.152693786,0.289419864,0.245209908,0.2570887,0.290376132
37,115,NC,377604,0.001971146,0.001839793,0.00154833,0.001527429,0.446699462,0.473811578,0.130035055,0.203985667,0.280085529,0.211931367,0.321854601,0.350349423
37,117,NC,430520,0.002161751,0.002376545,0.001513109,0.001693292,0.429680294,0.536816707,0.099276366,0.19479565,0.27772629,0.239296137,0.234917493,0.311409411
37,119,NC,17533144,0.100778123,0.102979429,0.090958268,0.099219525,0.491857861,0.571168101,0.186636935,0.334606856,0.407143274,0.352075677,0.324359751,0.404031512
37,121,NC,276772,0.001363762,0.001252655,0.000976371,0.000995909,0.421647562,0.440131602,0.100162516,0.167892348,0.280344139,0.222568088,0.231717572,0.24376563
37,123,NC,497042,0.002891283,0.002934991,0.001928466,0.001996914,0.497772243,0.574231538,0.118376767,0.201585987,0.413442963,0.362099347,0.353666585,0.410007932
37,125,NC,1639690,0.00869197,0.008616026,0.005445675,0.005735758,0.453617282,0.510997204,0.088871091,0.15895603,0.327268773,0.281037302,0.258741302,0.300184418
37,127,NC,1710258,0.00997855,0.009898773,0.006982218,0.007201443,0.499274012,0.562850442,0.128780365,0.216926403,0.340092188,0.292074008,0.298971012,0.347075513
37,129,NC,3793594,0.017477228,0.017404205,0.022029249,0.023166707,0.394234721,0.446145643,0.219126604,0.371092705,0.285891416,0.245872607,0.263056623,0.352847868
37,131,NC,382562,0.001827522,0.001836294,0.001537525,0.001389962,0.408784002,0.466781564,0.125763446,0.170479135,0.273284258,0.208847437,0.213572734,0.245115619
37,133,NC,3283686,0.016092661,0.016105363,0.04120516,0.024874124,0.419371964,0.476960219,0.572530986,0.490550895,0.301918503,0.25425955,0.371405336,0.296162649
37,135,NC,2470248,0.013093324,0.012905844,0.015675681,0.018637573,0.453568121,0.508064839,0.247394744,0.488116647,0.357276738,0.287468125,0.387993109,0.538151169
37,137,NC,234302,0.001022822,0.001020319,0.000921364,0.000717334,0.373557127,0.423480293,0.121477044,0.124399189,0.243774779,0.197161366,0.192640523,0.220824759
37,139,NC,723946,0.003690614,0.003763563,0.003943372,0.003848788,0.436240088,0.505552569,0.200432384,0.307083234,0.312588146,0.254910105,0.257882287,0.345783188
37,141,NC,983664,0.005386592,0.005611754,0.003883874,0.003635744,0.468597987,0.554785536,0.121813329,0.175173875,0.348279254,0.300115518,0.290114388,0.343236592
37,143,NC,242412,0.00121007,0.001195271,0.000808263,0.000866888,0.427159121,0.479496512,0.090100514,0.166219147,0.272187219,0.227581301,0.228202599,0.248690813
37,145,NC,707678,0.004020816,0.003908423,0.002667831,0.002739877,0.486196349,0.537080211,0.11251536,0.189556291,0.319818523,0.253748988,0.261097945,0.304973461
37,147,NC,3103266,0.016183936,0.016003891,0.021208497,0.025165805,0.446270623,0.501510316,0.272987634,0.534030158,0.335200297,0.272950927,0.350268687,0.479046269
37,149,NC,366754,0.001766448,0.001720126,0.001072352,0.001066098,0.412153606,0.456098564,0.068373126,0.111409822,0.281373654,0.228595456,0.232485649,0.270038747
37,151,NC,2560528,0.0155638,0.015355869,0.010152547,0.010434251,0.520138832,0.583200878,0.122589212,0.205836521,0.390714487,0.32459528,0.319471165,0.37780764
37,153,NC,830192,0.004832228,0.004867159,0.003790279,0.003627297,0.498083348,0.570125246,0.154195233,0.229981756,0.315867065,0.277124516,0.281039348,0.319163478
