STATE,COUNTY,TOTAL,NUM.M11-12,NUM.F11-12,NUM.M11-12,PP.F11-12,PP.M11-12,PPF11-12,PP.M18-26,PP.F18-26
1,125,3586722,26918,25779,188823,189607,0.007504903,0.007187343,0.052645006,0.05286359
1,127,1191360,9942,9170,34484,34101,0.008345085,0.007697086,0.028945071,0.02862359
1,129,309312,2996,2726,9037,8580,0.009686013,0.008813108,0.029216455,0.027738982
1,131,203944,2152,1967,5488,5648,0.010551916,0.009644804,0.026909348,0.027693877
1,133,435534,3449,3406,11467,11225,0.007919014,0.007820285,0.026328599,0.025772959
2,13,58396,192,200,3884,1302,0.003287896,0.003424892,0.066511405,0.022296048
2,16,101646,492,456,5820,2377,0.004840328,0.004486158,0.057257541,0.023385082
2,20,5340134,46495,44232,246043,216441,0.00870671,0.008282938,0.046074312,0.040531005
2,50,315994,3960,3628,12700,12148,0.012531884,0.011481231,0.040190637,0.038443768
2,60,17406,131,145,622,516,0.00752614,0.008330461,0.035734804,0.02964495
2,68,33964,251,262,933,805,0.007390178,0.00771405,0.027470263,0.023701566
2,70,88822,996,915,3452,3398,0.011213438,0.010301502,0.038864245,0.038256288
2,90,1784614,14520,13616,106749,77122,0.008136213,0.007629661,0.059816296,0.043214947
2,100,45456,338,338,918,966,0.007435762,0.007435762,0.020195354,0.02125132
2,105,38134,205,289,1079,819,0.00537578,0.007578539,0.02829496,0.021476897
2,110,577474,4622,4449,20400,19805,0.008003824,0.007704243,0.035326266,0.034295916
2,122,1021852,8437,8225,33286,27273,0.008256577,0.008049111,0.032574189,0.026689775
2,130,245446,2008,1901,8713,7662,0.008181026,0.007745084,0.035498643,0.031216642
2,150,248496,2455,2199,10869,8243,0.009879435,0.008849237,0.043739135,0.03317156
2,158,140004,1967,1830,6373,5471,0.014049599,0.013071055,0.045520128,0.039077455
2,164,29222,270,282,1148,1134,0.009239614,0.009650264,0.03928547,0.038806379
2,170,1705964,17411,16211,58205,51216,0.01020596,0.009502545,0.034118539,0.030021736
2,180,175500,2040,1888,7255,6494,0.011623932,0.010757835,0.041339031,0.037002849
2,185,172540,1384,1307,8167,5495,0.008021328,0.007575055,0.047333952,0.031847687
2,188,137852,1534,1559,6441,5389,0.011127876,0.01130923,0.046724023,0.03909265
2,195,58932,524,471,1751,1661,0.008891604,0.007992262,0.029712211,0.028185027
2,198,112380,1053,901,3456,2896,0.009369995,0.008017441,0.030752803,0.02576971
2,220,160346,1329,1156,4943,5212,0.008288326,0.00720941,0.030827086,0.032504709
2,230,18060,73,64,536,620,0.004042082,0.003543743,0.029678848,0.034330011
2,240,126246,1248,1026,4283,3460,0.009885462,0.00812699,0.033925827,0.027406809
2,261,172550,1459,1527,5732,4708,0.00845552,0.008849609,0.033219357,0.027284845
