STATEFIP,COUNTYFIPS,totalpop,targage1wtd,targage2wtd,malewtd,femalewtd,targ1wtd,targ2wtd,coveredwtd,insurlikelywtd,likelytarg1wtd,targage1pp,targage2pp,malepp,femalepp,targ1pp,targ2pp,coveredpp,insurlikelypp,likelytarg1pp
28,33,351222,18798,12196,82711,88102,9384,5988,151261,44199,0,-0.373656034,-0.447147624,-0.416937912,-0.413413121,-0.368185837,-0.446766094,-0.42675013,-0.434001111,0
17,89,1063430,56716,40272,261779,264812,27344,19534,468619,153156,0,0.175966575,-0.010884233,0.073238136,0.053951592,0.163016337,-0.018203975,0.0740108,-0.003044056,0
24,17,315410,16821,12430,74580,79844,8372,6062,147687,39582,0,-0.402312711,-0.443511578,-0.439195498,-0.435253977,-0.398117719,-0.444424916,-0.432389564,-0.452262707,0
39,41,392926,20938,11189,93283,95584,10330,5389,180463,34506,0,-0.342636666,-0.462795054,-0.387998397,-0.393624638,-0.340206034,-0.46571698,-0.380672134,-0.472339783,0
6,19,1959830,104255,91882,480400,482853,50415,44806,822063,437581,1,0.865045884,0.79106596,0.671685528,0.630629026,0.845386345,0.781339939,0.631712027,1.121940667,1
6,71,4280192,227562,205173,1046493,1060332,109757,98513,1789459,799418,0,2.652384749,2.551456182,2.221293662,2.157952364,2.600542213,2.480497306,2.158171483,2.55311267,0
39,133,323842,17216,22812,79161,82356,8442,11992,150152,48839,0,-0.396587174,-0.28218922,-0.426655589,-0.42861021,-0.396047332,-0.256814303,-0.428500027,-0.415648543,0
6,65,4775482,253839,204301,1156235,1168255,125817,99670,1984937,876042,0,3.033270695,2.537906471,2.521698535,2.4433884,3.075548165,2.51710194,2.466617292,2.856183178,0
6,99,1083120,57529,45715,262389,268310,27712,22525,470518,230174,0,0.187751036,0.073692688,0.074907934,0.063203144,0.173900657,0.076423907,0.077007242,0.301584839,0
13,63,558924,29662,24314,127631,142605,14618,12156,205808,90551,0,-0.21618201,-0.258850154,-0.293975082,-0.269262937,-0.213380037,-0.251625746,-0.340680119,-0.250665286,0
18,39,407562,21536,15203,99641,102070,11125,7409,165016,60953,0,-0.333968637,-0.400422877,-0.370594174,-0.376470388,-0.316692352,-0.401809149,-0.40504604,-0.367734102,0
13,73,294900,15534,9857,68016,71840,7328,4888,127315,31804,0,-0.420967817,-0.483492548,-0.45716362,-0.456423052,-0.428996064,-0.481567388,-0.464534654,-0.48302699,0
12,19,416622,21909,14119,98377,101975,10659,6986,178414,63141,0,-0.32856199,-0.417266783,-0.374054214,-0.376721645,-0.330475215,-0.415191829,-0.383905262,-0.359079917,0
39,45,305194,16048,10592,74753,75409,7817,4784,138890,49144,0,-0.413517371,-0.472071633,-0.438721933,-0.446983718,-0.414532931,-0.484857692,-0.446270398,-0.414442178,0
9,13,302236,15863,22705,75411,75860,7551,11435,145426,41657,0,-0.416198952,-0.283851856,-0.436920741,-0.445790908,-0.422400402,-0.274436413,-0.435957208,-0.44405547,0
35,43,284050,14844,8915,67856,70237,7075,4378,121246,50486,0,-0.430969389,-0.498129965,-0.4576016,-0.460662686,-0.436479034,-0.497702533,-0.474110963,-0.409134172,0
36,87,653560,34128,25809,158472,164262,16958,12458,296486,122493,0,-0.151447199,-0.235619859,-0.209551737,-0.211984246,-0.144169954,-0.242071209,-0.197598805,-0.12432526,0
42,89,332196,17318,15402,82789,84352,8618,7240,151410,56184,0,-0.395108681,-0.397330683,-0.416724397,-0.423331165,-0.390841787,-0.407155893,-0.426515022,-0.386596903,0
22,5,243174,12652,8126,57969,58945,6168,3781,104207,30038,0,-0.462742498,-0.510389967,-0.484666014,-0.490527902,-0.463305335,-0.516590145,-0.500996894,-0.49001204,0
26,93,377248,19574,12277,93097,92659,9687,5787,175372,48315,0,-0.362407889,-0.445888993,-0.388507548,-0.401360713,-0.359224019,-0.453125239,-0.38870525,-0.417721117,0
28,59,282482,14653,10126,69066,71727,7129,5088,119203,48257,0,-0.43373794,-0.479312649,-0.454289377,-0.456721916,-0.434881878,-0.47523988,-0.477334624,-0.417950525,0
21,227,251064,13005,16576,59506,61472,6067,8033,109511,41097,0,-0.457625752,-0.379088298,-0.480458671,-0.483844462,-0.466292608,-0.382067324,-0.492627684,-0.446270435,0
42,85,225826,11682,9356,56928,57827,5378,4383,105494,46795,0,-0.476802679,-0.491277416,-0.48751562,-0.493484801,-0.486671133,-0.497544345,-0.49896613,-0.423733166,0
47,157,1869206,96358,80465,447079,489688,47471,40424,805614,327134,0,0.750578619,0.61366109,0.580473497,0.648706316,0.758311779,0.642704238,0.605757059,0.685090222,0
51,107,771890,39768,20612,179348,182874,19570,10347,335062,43822,0,-0.069695221,-0.31637427,-0.152406322,-0.162759006,-0.066914938,-0.308858056,-0.136729523,-0.435492257,0
6,31,299570,15431,15108,83270,67042,7856,6193,125056,59874,0,-0.422460805,-0.401899049,-0.41540772,-0.46911286,-0.41337943,-0.440280398,-0.468099143,-0.372001865,0
48,187,310530,15990,10933,72740,74497,7713,5448,127037,39761,0,-0.414358083,-0.466772951,-0.444232266,-0.449395787,-0.417608935,-0.463850365,-0.464973312,-0.451554709,0
48,85,1879170,96678,58592,434947,451395,45932,28409,783696,140905,0,0.755217029,0.273784001,0.547263678,0.547428533,0.71279284,0.262579193,0.571172527,-0.051500372,0
35,13,428414,22025,27478,105345,108354,11613,13325,177771,100759,0,-0.326880567,-0.209685837,-0.354980194,-0.35985039,-0.302258797,-0.214641462,-0.384919855,-0.210289637,0
4,27,411262,21124,20766,104305,99101,9834,8694,165983,82807,0,-0.33994059,-0.313981316,-0.357827063,-0.384322835,-0.354876206,-0.36115491,-0.403520205,-0.281295089,0
1,117,421244,21636,13446,100288,105589,9839,6849,188348,45792,0,-0.332519134,-0.427724301,-0.368823093,-0.367163295,-0.354728321,-0.419526172,-0.368230349,-0.427700326,0
48,135,314924,16169,14790,77526,75871,7954,6800,117272,40103,0,-0.411763472,-0.406840343,-0.431131195,-0.445761815,-0.410480888,-0.421076411,-0.480381559,-0.450201998,0
24,21,495182,25378,18280,120219,123243,11735,9018,228763,57375,0,-0.278278726,-0.352610423,-0.314264496,-0.320471785,-0.298650408,-0.350904347,-0.304459299,-0.381886147,0
18,141,538282,27486,25849,129388,138314,13621,13554,237498,84674,0,-0.247723199,-0.234998312,-0.289165516,-0.280611825,-0.242868264,-0.207396465,-0.290676294,-0.273910554,0
49,53,320490,16340,11951,75525,76598,7582,6200,127701,53043,0,-0.409284822,-0.450954596,-0.43660868,-0.443839037,-0.421483516,-0.440058935,-0.463925583,-0.399020484,0
55,59,336366,17146,14517,82710,85062,8552,6867,153688,55078,0,-0.397601826,-0.411082397,-0.416940649,-0.421453349,-0.392793866,-0.418956696,-0.422920553,-0.390971459,0
48,257,236700,12040,7487,54824,56944,5647,3656,91841,30638,0,-0.471613458,-0.52031917,-0.493275055,-0.49582017,-0.478714931,-0.520544837,-0.520509274,-0.487638864,0
18,89,971692,49367,37355,236730,253084,23646,18732,432819,169894,0,0.069442588,-0.056210501,0.00466966,0.022933238,0.053640744,-0.043577282,0.017521783,0.063159669,0
37,135,283592,14401,21603,66626,73522,7439,11997,127707,28381,0,-0.437390688,-0.300975459,-0.460968569,-0.451974478,-0.425713021,-0.256656115,-0.463916115,-0.496565964,0
37,101,382900,19434,12191,89688,92624,9174,6091,155153,55018,0,-0.364437194,-0.447225318,-0.397839255,-0.401453281,-0.374396998,-0.443507427,-0.420608921,-0.391208776,0
21,15,257072,13038,8299,62125,63622,6235,3952,116134,29509,0,-0.457147416,-0.507701779,-0.473289489,-0.478158116,-0.461323679,-0.511180125,-0.482177216,-0.492104391,0
51,41,678018,34353,25288,159958,171957,16206,12703,304249,79247,0,-0.148185817,-0.2437155,-0.205484,-0.191632418,-0.166411827,-0.234320012,-0.185349525,-0.295375939,0
6,39,309394,15670,13848,73776,79237,7295,6793,131126,78599,0,-0.418996493,-0.42147776,-0.441396347,-0.436859378,-0.429972103,-0.421297874,-0.458521257,-0.29793897,0
34,27,996846,50460,33373,243845,254557,25378,15693,465335,106622,0,0.085285658,-0.118085442,0.024146074,0.026829046,0.104868036,-0.139723767,0.068828958,-0.187099744,0
49,35,2242708,113284,93312,549294,543534,54634,46029,948125,225777,0,0.995921525,0.813286243,0.860274157,0.791118858,0.970171532,0.82003265,0.830625948,0.284193408,0
48,157,1482474,74865,47937,336036,347695,36822,23172,594127,122465,0,0.439036905,0.108219589,0.2765073,0.273161538,0.443346749,0.096893396,0.272050562,-0.124436008,0
