,NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST,id,CNTR_CODE,NUTS_NAME,LEVL_CODE,FID,NUTS_ID,geometry
12,FR221,7247,7026,24355,23728,14273,31381,198557,75452,215680,81958.4,414237,157410,0.185487858,0.191048169,0.14507049,0.125965506,0.188191882,0.15341064199999999,0.187221735,0.187221353,0.184145248,0.184145248,0.18559705899999998,0.185597313,FR221,FR,Aisne,3,FR221,FR221,"POLYGON ((4.141 49.979, 4.233 49.958, 4.048 49.406, 3.644 49.313, 3.585 49.039, 3.679 49.018, 3.485 48.852, 3.072 49.118, 3.119 49.706, 3.173 50.012, 4.141 49.979))"
13,FR222,11139,10702,39625,37825,21841,50327,295296,112212,312364,118698.32,607660,230911,0.29867674899999996,0.303975178,0.24901804600000002,0.210504222,0.30125341699999997,0.25898703300000003,0.295330297,0.295327554,0.28069620100000003,0.28069620100000003,0.28760211199999997,0.287602698,FR222,FR,Oise,3,FR222,FR222,"POLYGON ((3.119 49.706, 3.072 49.118, 2.591 49.08, 1.704 49.232, 1.714 49.409, 1.784 49.758, 2.65 49.572, 3.119 49.706))"
14,FR223,7249,6720,30740,30798,13969,37460,212698,80825,232075,88188.5,444773,169014,0.185546023,0.181647825,0.18853513600000002,0.168363798,0.18365029800000002,0.187285807,0.203024702,0.20302262100000001,0.200517687,0.200517687,0.201700761,0.20170145399999997,FR223,FR,Somme,3,FR223,FR223,"POLYGON ((3.09 50.054, 3.173 50.012, 3.119 49.706, 2.65 49.572, 1.784 49.758, 1.38 50.065, 1.642 50.352, 3.09 50.054))"
15,FR231,8313,7867,25245,24687,16180,33112,214555,81531,230628,87638.64,445183,169170,0.216489748,0.216883755,0.151128992,0.131716561,0.216681357,0.16305662199999998,0.205099952,0.205098872,0.199072678,0.199072678,0.201916982,0.201917953,FR231,FR,Eure,3,FR231,FR231,"POLYGON ((1.714 49.409, 1.704 49.232, 1.609 49.078, 1.502 48.941, 0.8149999999999999 48.67, 0.413 48.951, 0.297 49.43, 0.339 49.441, 0.999 49.252, 1.714 49.409))"
16,FR232,15410,15436,66719,66932,30846,82155,458016,174046,512700,194826.0,970716,368872,0.422887887,0.44940403,0.433455184,0.38505685100000003,0.4357829000000001,0.436348236,0.477174486,0.477173005,0.48075651799999997,0.48075651799999997,0.479066137,0.479066282,FR232,FR,Seine-Maritime,3,FR232,FR232,"POLYGON ((1.784 49.758, 1.714 49.409, 0.999 49.252, 0.339 49.441, 0.066 49.513, 0.192 49.707, 1.38 50.065, 1.784 49.758))"
17,FR241,3601,3548,12629,11637,7149,16177,119554,45431,129844,49340.72,249398,94771,0.07945325,0.084203736,0.065248024,0.05345663,0.081763449,0.068686508,0.098933655,0.09893364199999999,0.09842736699999999,0.09842736699999999,0.09866628699999999,0.098666315,FR241,FR,Cher,3,FR241,FR241,"POLYGON ((2.875 47.52, 3.075 47.03, 3.032 46.795, 2.281 46.42, 2.168 46.424, 2.155 46.912, 2.054 47.102, 1.774 47.131, 1.839 47.219, 2.158 47.299, 2.248 47.492, 2.12 47.583, 2.239 47.621, 2.875 47.52))"
18,FR242,5610,5555,18496,17593,11165,24051,159077,60449,169872,64551.36,328949,125001,0.137879889,0.145858933,0.105186486,0.089174343,0.141760163,0.11256429300000001,0.143101722,0.143099554,0.138400284,0.138400284,0.140618919,0.140619796,FR242,FR,Eure-et-Loir,3,FR242,FR242,"POLYGON ((1.922 48.458, 1.994 48.287, 1.52 47.982, 0.841 48.103, 0.798 48.194, 0.8149999999999999 48.67, 1.502 48.941, 1.922 48.458))"
19,FR243,2678,2547,8241,7767,5225,10788,88915,33788,97176,36926.88,186091,70715,0.05261015,0.053452937,0.035377567,0.030248512999999998,0.053020004,0.038656361,0.064693708,0.06469315,0.065804322,0.065804322,0.065280217,0.06528117,FR243,FR,Indre,3,FR243,FR243,"POLYGON ((2.168 46.424, 1.415 46.347, 1.177 46.384, 0.867 46.748, 1.327 47.186, 1.839 47.219, 1.774 47.131, 2.054 47.102, 2.155 46.912, 2.168 46.424))"
20,FR244,7434,6883,30115,31789,14317,36998,221691,84243,246216,93562.08,467907,177805,0.190926276,0.186655198,0.18428057,0.174306755,0.18884921600000001,0.18471131699999999,0.213074633,0.213074498,0.214639227,0.214639227,0.21390088699999998,0.213901688,FR244,FR,Indre-et-Loire,3,FR244,FR244,"POLYGON ((1.327 47.186, 0.867 46.748, 0.054 47.164, 0.23 47.608, 0.614 47.694, 1.033 47.607, 1.327 47.186))"
21,FR245,4126,3920,12510,11814,8046,16430,124629,47359,135843,51620.34,260472,98979,0.094721536,0.095631605,0.064437955,0.054518087,0.09516411,0.070096348,0.10460511,0.10460363,0.104418112,0.104418112,0.104506357,0.104506217,FR245,FR,Loir-et-Cher,3,FR245,FR245,"POLYGON ((1.52 47.982, 1.548 47.77, 1.74 47.662, 2.239 47.621, 2.12 47.583, 2.248 47.492, 2.158 47.299, 1.839 47.219, 1.327 47.186, 1.033 47.607, 0.614 47.694, 0.841 48.103, 1.52 47.982))"
