STATE,COUNTY,STNAME,VOLOVERALLFEMALE1112ALL,VOLOVERALLFEMALE1112AA,VOLOVERALLFEMALE1112HISP,VOLOVERALLFEMALE1112OTHER,VOLOVERALLMALE1112ALL,VOLOVERALLMALE1112AA,VOLOVERALLMALE1112HISP,VOLOVERALLMALE1112OTHER,VOLOVERALLFEMALE1826ALL,VOLOVERALLFEMALE1826AA,VOLOVERALLFEMALE1826HISP,VOLOVERALLFEMALE1826OTHER,VOLOVERALLMALE1826ALL,VOLOVERALLMALE1826AA,VOLOVERALLMALE1826HISP,VOLOVERALLMALE1826OTHER,VOLLOWINCOMEFEMALE1112ALL,VOLLOWINCOMEFEMALE1112AA,VOLLOWINCOMEFEMALE1112HISP,VOLLOWINCOMEFEMALE1112OTHER,VOLLOWINCOMEMALE1112ALL,VOLLOWINCOMEMALE1112AA,VOLLOWINCOMEMALE1112HISP,VOLLOWINCOMEMALE1112OTHER,VOLLOWINCOMEFEMALE1826ALL,VOLLOWINCOMEFEMALE1826AA,VOLLOWINCOMEFEMALE1826HISP,VOLLOWINCOMEFEMALE1826OTHER,VOLLOWINCOMEMALE1826ALL,VOLLOWINCOMEMALE1826AA,VOLLOWINCOMEMALE1826HISP,VOLLOWINCOMEMALE1826OTHER,VOLLOWINSUREDFEMALE1112ALL,VOLLOWINSUREDFEMALE1112AA,VOLLOWINSUREDFEMALE1112HISP,VOLLOWINSUREDFEMALE1112OTHER,VOLLOWINSUREDMALE1112ALL,VOLLOWINSUREDMALE1112AA,VOLLOWINSUREDMALE1112HISP,VOLLOWINSUREDMALE1112OTHER,VOLLOWINSUREDFEMALE1826ALL,VOLLOWINSUREDFEMALE1826AA,VOLLOWINSUREDFEMALE1826HISP,VOLLOWINSUREDFEMALE1826OTHER,VOLLOWINSUREDMALE1826ALL,VOLLOWINSUREDMALE1826AA,VOLLOWINSUREDMALE1826HISP,VOLLOWINSUREDMALE1826OTHER,VOLOVERALLBOTH1112ALL,VOLOVERALLBOTH1112AA,VOLOVERALLBOTH1112HISP,VOLOVERALLBOTH1112OTHER,VOLOVERALLBOTH1826ALL,VOLOVERALLBOTH1826AA,VOLOVERALLBOTH1826HISP,VOLOVERALLBOTH1826OTHER,VOLLOWINCOMEBOTH1112ALL,VOLLOWINCOMEBOTH1112AA,VOLLOWINCOMEBOTH1112HISP,VOLLOWINCOMEBOTH1112OTHER,VOLLOWINCOMEBOTH1826ALL,VOLLOWINCOMEBOTH1826AA,VOLLOWINCOMEBOTH1826HISP,VOLLOWINCOMEBOTH1826OTHER,VOLLOWINSUREDBOTH1112ALL,VOLLOWINSUREDBOTH1112AA,VOLLOWINSUREDBOTH1112HISP,VOLLOWINSUREDBOTH1112OTHER,VOLLOWINSUREDBOTH1826ALL,VOLLOWINSUREDBOTH1826AA,VOLLOWINSUREDBOTH1826HISP,VOLLOWINSUREDBOTH1826OTHER,NORMOVERALLFEMALE1112ALL,NORMOVERALLFEMALE1112AA,NORMOVERALLFEMALE1112HISP,NORMOVERALLFEMALE1112OTHER,NORMOVERALLMALE1112ALL,NORMOVERALLMALE1112AA,NORMOVERALLMALE1112HISP,NORMOVERALLMALE1112OTHER,NORMOVERALLFEMALE1826ALL,NORMOVERALLFEMALE1826AA,NORMOVERALLFEMALE1826HISP,NORMOVERALLFEMALE1826OTHER,NORMOVERALLMALE1826ALL,NORMOVERALLMALE1826AA,NORMOVERALLMALE1826HISP,NORMOVERALLMALE1826OTHER,NORMLOWINCOMEFEMALE1112ALL,NORMLOWINCOMEFEMALE1112AA,NORMLOWINCOMEFEMALE1112HISP,NORMLOWINCOMEFEMALE1112OTHER,NORMLOWINCOMEMALE1112ALL,NORMLOWINCOMEMALE1112AA,NORMLOWINCOMEMALE1112HISP,NORMLOWINCOMEMALE1112OTHER,NORMLOWINCOMEFEMALE1826ALL,NORMLOWINCOMEFEMALE1826AA,NORMLOWINCOMEFEMALE1826HISP,NORMLOWINCOMEFEMALE1826OTHER,NORMLOWINCOMEMALE1826ALL,NORMLOWINCOMEMALE1826AA,NORMLOWINCOMEMALE1826HISP,NORMLOWINCOMEMALE1826OTHER,NORMLOWINSUREDFEMALE1112ALL,NORMLOWINSUREDFEMALE1112AA,NORMLOWINSUREDFEMALE1112HISP,NORMLOWINSUREDFEMALE1112OTHER,NORMLOWINSUREDMALE1112ALL,NORMLOWINSUREDMALE1112AA,NORMLOWINSUREDMALE1112HISP,NORMLOWINSUREDMALE1112OTHER,NORMLOWINSUREDFEMALE1826ALL,NORMLOWINSUREDFEMALE1826AA,NORMLOWINSUREDFEMALE1826HISP,NORMLOWINSUREDFEMALE1826OTHER,NORMLOWINSUREDMALE1826ALL,NORMLOWINSUREDMALE1826AA,NORMLOWINSUREDMALE1826HISP,NORMLOWINSUREDMALE1826OTHER,NORMOVERALLBOTH1112ALL,NORMOVERALLBOTH1112AA,NORMOVERALLBOTH1112HISP,NORMOVERALLBOTH1112OTHER,NORMOVERALLBOTH1826ALL,NORMOVERALLBOTH1826AA,NORMOVERALLBOTH1826HISP,NORMOVERALLBOTH1826OTHER,NORMLOWINCOMEBOTH1112ALL,NORMLOWINCOMEBOTH1112AA,NORMLOWINCOMEBOTH1112HISP,NORMLOWINCOMEBOTH1112OTHER,NORMLOWINCOMEBOTH1826ALL,NORMLOWINCOMEBOTH1826AA,NORMLOWINCOMEBOTH1826HISP,NORMLOWINCOMEBOTH1826OTHER,NORMLOWINSUREDBOTH1112ALL,NORMLOWINSUREDBOTH1112AA,NORMLOWINSUREDBOTH1112HISP,NORMLOWINSUREDBOTH1112OTHER,NORMLOWINSUREDBOTH1826ALL,NORMLOWINSUREDBOTH1826AA,NORMLOWINSUREDBOTH1826HISP,NORMLOWINSUREDBOTH1826OTHER
1,21,Alabama,297,33,31,10,313,35,35,10,266,33,20,5,275,35,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,68,66,20,541,68,50,12,,,,,,,,,,,,,,,,,0.004671648,0.003402763,0.000788423,0.00092285,0.004722034,0.003554021,0.000858243,0.000880049,0.003489394,0.003179497,0.000484133,0.000350631,0.003485557,0.003604531,0.000685808,0.000475996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004696841,0.003478392,0.000823333,0.00090145,0.003487476,0.003392014,0.00058497,0.000413314,,,,,,,,,,,,,,,,
1,23,Alabama,89,41,0,1,89,36,1,1,72,36,0,1,74,40,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,77,1,2.00E+00,146,76,1.00E+00,1.00E+00,,,,,,,,,,,,,,,,,0.001399921,0.004227676,0,9.2285E-05,0.001342687,0.003655565,2.45212E-05,8.80049E-05,0.000944498,0.003468542,0,7.01262E-05,0.000937932,0.004119464,2.28603E-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001371304,0.00394162,1.22606E-05,9.0145E-05,0.000941215,0.003794003,1.14301E-05,3.50631E-05,,,,,,,,,,,,,,,,
1,25,Alabama,186,92,3,3,176,87,3,3,146,78,1,3,148,74,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,179,6.00E+00,6,294,152,4.00E+00,4,,,,,,,,,,,,,,,,,0.002925678,0.009486492,7.6299E-05,0.000276855,0.002655201,0.008834281,7.35637E-05,0.000264015,0.001915231,0.007515175,2.42066E-05,0.000210379,0.001875863,0.007621009,6.85808E-05,6.79995E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00279044,0.009160387,7.49313E-05,0.000270435,0.001895547,0.007568092,4.63937E-05,0.000139189,,,,,,,,,,,,,,,,
1,27,Alabama,87,13,3,3,97,16,4,4,78,13,3,1,76,14,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,29,7.00E+00,7,154,27,6.00E+00,3,,,,,,,,,,,,,,,,,0.001368462,0.001340483,7.6299E-05,0.000276855,0.001463378,0.001624695,9.80849E-05,0.00035202,0.001023206,0.001252529,7.26199E-05,7.01262E-05,0.000963281,0.001441813,6.85808E-05,0.000135999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00141592,0.001482589,8.71919E-05,0.000314437,0.000993244,0.001347171,7.06004E-05,0.000103063,,,,,,,,,,,,,,,,
1,29,Alabama,94,3,3,3,106,3,3,3,82,2,2,1,87,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,6,6.00E+00,6,169,5,5.00E+00,3,,,,,,,,,,,,,,,,,0.001478569,0.000309342,7.6299E-05,0.000276855,0.001599155,0.00030463,7.35637E-05,0.000264015,0.001075678,0.000192697,4.84133E-05,7.01262E-05,0.001102704,0.00030896,6.85808E-05,0.000135999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001538862,0.000306986,7.49313E-05,0.000270435,0.001089191,0.000250828,5.8497E-05,0.000103063,,,,,,,,,,,,,,,,
1,31,Alabama,339,68,25,23,361,67,31,30,304,64,24,18,325,59,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,135,56,53,629,123,54,39,,,,,,,,,,,,,,,,,0.005332285,0.007011755,0.000635825,0.002122554,0.005446179,0.006803412,0.000760158,0.002640148,0.003987879,0.006166297,0.000580959,0.001262272,0.004119295,0.00607621,0.000685808,0.001427989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005389232,0.006907583,0.000697991,0.002381351,0.004053587,0.006121254,0.000633384,0.00134513,,,,,,,,,,,,,,,,
1,33,Alabama,341,61,12,14,354,63,15,15,331,65,8,10,321,60,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,124,27,29,652,125,20,19,,,,,,,,,,,,,,,,,0.005363744,0.006289957,0.000305196,0.00129199,0.005340575,0.006397238,0.000367818,0.001320074,0.004342066,0.006262646,0.000193653,0.000701262,0.004068596,0.006179197,0.000274323,0.000611995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005352159,0.006343597,0.000336507,0.001306032,0.004205331,0.006220921,0.000233988,0.000656629,,,,,,,,,,,,,,,,
1,35,Alabama,85,51,1,1,83,48,2,1,72,40,2,2,79,42,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,99,3.00E+00,2.00E+00,151,82,5.00E+00,3.00E+00,,,,,,,,,,,,,,,,,0.001337004,0.005258816,2.5433E-05,9.2285E-05,0.001252169,0.004874086,4.90424E-05,8.80049E-05,0.000944498,0.003853936,4.84133E-05,0.000140252,0.001001305,0.004325438,6.85808E-05,6.79995E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001294586,0.005066451,3.72377E-05,9.0145E-05,0.000972902,0.004089687,5.8497E-05,0.000104126,,,,,,,,,,,,,,,,
1,37,Alabama,63,24,1,1,64,21,2,1,57,20,1,1,64,26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,45,3.00E+00,2.00E+00,121,46,2.00E+00,2.00E+00,,,,,,,,,,,,,,,,,0.000990956,0.002474737,2.5433E-05,9.2285E-05,0.000965528,0.002132413,4.90424E-05,8.80049E-05,0.000747727,0.001926968,2.42066E-05,7.01262E-05,0.000811184,0.002677652,2.28603E-05,6.79995E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000978242,0.002303575,3.72377E-05,9.0145E-05,0.000779456,0.00230231,2.35335E-05,6.90628E-05,,,,,,,,,,,,,,,,
1,39,Alabama,234,39,4,8,246,39,4,9,214,35,4,5,216,36,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,78,8,17,430,71,8.00E+00,10,,,,,,,,,,,,,,,,,0.003680692,0.004021448,0.000101732,0.00073828,0.003711247,0.003960195,9.80849E-05,0.000792044,0.002807257,0.003372194,9.68265E-05,0.000350631,0.002737747,0.003707518,9.14411E-05,0.000339997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003695969,0.003990821,9.99084E-05,0.000765162,0.002772502,0.003539856,9.41338E-05,0.000345314,,,,,,,,,,,,,,,,
