NUTS,VOLMALE1112,VOLFEMALE1112,VOLMALE1926,VOLFEMALE1926,VOLBOTH1112,VOLBOTH1926,VOLMALE18PLUS,VOLMALE18PLUSAGAINST,VOLFEMALE18PLUS,VOLFEMALE18PLUSAGAINST,VOLBOTH18PLUS,VOLBOTH18PLUSAGAINST,NORMMALE1112,NORMFEMALE1112,NORMMALE1926,NORMFEMALE1926,NORMBOTH1112,NORMBOTH1926,NORMMALE18PLUS,NORMMALE18PLUSAGAINST,NORMFEMALE18PLUS,NORMFEMALE18PLUSAGAINST,NORMBOTH18PLUS,NORMBOTH18PLUSAGAINST
FR253,3701,3388,11532,11129,7089,14920,109285,41528,118924,45191.12,228209,86719,0.082361495,0.079288523,0.05778041,0.05041019,0.080867084,0.061681889,0.087457757,0.087455446,0.087522394,0.087522394,0.087491892,0.087491673
FR261,6365,5926,29748,30384,12291,35674,198959,75604,219037,83234.06,417996,158838,0.159837138,0.157256083,0.181782289,0.165881069,0.15858195,0.177333341,0.187670982,0.187668365,0.187497628,0.187497628,0.187579435,0.187579105
FR262,2373,2227,8337,7575,4600,10564,84098,31957,93781,35636.78,177879,67594,0.043740003,0.043622512,0.036031069,0.029097102,0.043682866,0.037408124,0.059310574,0.059308426,0.062413994,0.062413994,0.060949473,0.060949817
FR263,6602,6145,22108,19446,12747,28253,212157,80620,230128,87448.64,442285,168068,0.166729679,0.16398378,0.129774474,0.100286653,0.165394326,0.135979894,0.202420119,0.202419744,0.198573366,0.198573366,0.20038867,0.200388587
FR264,4407,4114,13210,13092,8521,17324,128522,48838,140276,53304.88,268798,102143,0.102893704,0.1015913,0.069203069,0.062182163,0.102260334,0.075078154,0.108955648,0.10895317,0.108845012,0.108845012,0.108897221,0.108897247
FR301,35254,33359,149945,150396,68613,183304,925857,351826,1032659,392410.42,1958516,744236,1,1,1,0.885584581,1,1,1,1,1,1,1,1
FR302,20206,19081,72582,71162,39287,91663,526219,199963,585282,222407.16,1111501,422370,0.562367311,0.561378717,0.473366417,0.410423863,0.56188655,0.489331468,0.553393263,0.553391406,0.553238637,0.553238637,0.553311606,0.553311313
FR411,8879,8185,44641,43948,17064,52826,276003,104881,303234,115228.92,579237,220110,0.232950414,0.22665274,0.283163491,0.247223422,0.229887805,0.272912685,0.273769825,0.273768072,0.271578764,0.271578764,0.272612738,0.272612968
FR412,2478,2294,9122,8058,4772,11416,74029,28131,77206,29338.28,151235,57469,0.04679366,0.045680757,0.041374803,0.031993619,0.046252446,0.042155885,0.048058183,0.048056676,0.045861802,0.045861802,0.046898287,0.046898246
FR413,12578,11885,54900,50334,24463,66785,399738,151900,426346,162011.48,826084,313912,0.340526392,0.340317031,0.352999639,0.285519814,0.340424578,0.350699069,0.412047178,0.412044607,0.39452135,0.39452135,0.402791885,0.402792273
FR414,4813,4667,16447,14894,9480,21114,142514,54155,154701,58786.38,297215,112942,0.114701178,0.118579504,0.091238317,0.07298863,0.116587239,0.09619789,0.124592102,0.124589749,0.123250161,0.123250161,0.123883431,0.123884201
