GEOID,XCoord,YCoord,subway,competitors,rating,review_count,price,unsupervised_score,uns_rank,house_cost,rent,half-mile_sub_count
24,-74.15446796,40.74386721,0,2,0,0,0,0.005863218,38,107.5166667,107.5166667,0
25,-73.94768519,40.6878355,29,5,4,18.125,0.875,0.002755967,88,58.24495349,58.24495349,6
26,-74.03209661,40.74552066,0,8,3.6,66.6,1.133333333,0.003572523,65,83.51666667,83.51666667,0
27,-73.83283432,40.67345006,23,3,0,0,0,0.003157099,75,28.37142857,28.37142857,3
28,-73.95416082,40.71740927,49,8,3.766666667,95.4,1.433333333,0.009712717,13,75.6137931,75.6137931,14
29,-73.95903952,40.81178573,42,7,3.5,77.5,1.421052632,0.002463871,94,25,25,15
30,-74.02553204,40.77600636,0,2,3.558823529,29.88235294,0.941176471,0.005711663,40,52.75333333,52.75333333,0
31,-73.97836712,40.58196266,33,2,0,0,0,0.031947526,2,31.16666667,31.16666667,8
32,-74.14153066,40.79309709,0,1,0,0,0,0.002395729,95,47.08,47.08,0
33,-73.97688007,40.85554591,0,3,3.8125,70.25,1.625,0.001851791,98,45.91,45.91,0
34,-73.71111143,40.79627695,0,0,0,0,0,0.00303821,80,83.91679868,83.91679868,0
35,-73.81301575,40.78185305,0,0,0,0,0,0.002748853,89,34.8,34.8,0
36,-74.21836698,40.6619197,0,0,0,0,0,0.00192304,97,18.86,18.86,0
37,-73.96541667,40.76087458,37,10,3.371428571,193.6857143,1.714285714,0.003636129,64,86.55020921,86.55020921,43
38,-74.00200932,40.74226609,51,9,3.225,288,1.75,0.01040595,11,41.94163842,41.94163842,58
39,-73.90072785,40.92252942,0,0,0,0,0,0.028125391,5,25,25,0
40,-74.0996952,40.58226744,29,2,0,0,0,0.002520893,93,24.825,24.825,5
41,-73.93098883,40.74790481,68,5,3.333333333,33,1,0.002613097,90,37.81582353,37.81582353,25
42,-74.21714005,40.82539632,0,1,0,0,0,0.003441026,67,47.08,47.08,0
43,-73.92002895,40.70174885,44,8,4.115384615,23.15384615,0.846153846,0.011975917,8,40.98625,40.98625,20
44,-73.82202288,40.58596644,32,1,0,0,0,0.005408353,43,29.33333333,29.33333333,11
45,-73.79942694,40.70156124,53,6,0,0,0,0.005333045,45,33.77777778,33.77777778,20
46,-74.03544749,40.85818352,0,0,0,0,0,0.004907076,48,55.44333333,55.44333333,0
47,-73.70540828,40.73464699,0,1,0,0,0,0.008005344,16,25.91666667,25.91666667,0
48,-74.11327295,40.66704231,0,3,0,0,0,0.007572194,18,26.75,26.75,0
49,-74.07167665,40.91703478,0,2,0,0,0,0.004973126,47,45.44333333,45.44333333,0
50,-74.10964782,40.88131567,0,3,0,0,0,0.006452433,31,62.23,62.23,0
51,-73.98971057,40.67035156,33,3,3.833333333,73.33333333,1.5,0.003028062,81,69.91343915,69.91343915,11
52,-74.17691157,40.68815734,0,0,0,0,0,0.000914328,100,18.86,18.86,0
53,-73.86500373,40.77415896,0,1,4,22.5,1,0.003729139,62,45.94333333,45.94333333,0
54,-73.91642586,40.76608461,23,5,3.480769231,46.19230769,1.115384615,0.003043383,79,47.07,47.07,8
