,neighborhood,lat,lng,Manhattan,competitors,rating,review_count,rent,unsupervised_score,price,half-mile_sub_count
0,0,40.76588675204545,-74.16551071363638,0,0.9803921568627451,0.0,0.0,0.8181878949292385,0.0638316531767824,1.0,0.0
1,1,40.66272194255813,-73.90803852755813,0,0.9803921568627451,0.0,0.0,0.8851746726562718,0.26276864372482733,1.0,0.09183673469387754
2,2,40.774801871056106,-73.95932495092408,1,0.9803921568627451,0.7666666666666667,0.3303353658536585,0.715101087952897,0.033941417619591456,0.24,0.22448979591836732
3,3,40.785103567926825,-73.79488061219513,0,0.9803921568627451,0.0,0.0,0.8910743720394361,0.04855517425912711,1.0,0.0
4,4,40.93600503586956,-74.06318512195652,0,1.0,0.0,0.0,0.7615309183537281,0.02410330441655765,1.0,0.0
5,5,40.76027057028168,-74.04253373816901,0,0.9411764705882353,0.0,0.0,0.7400535649008144,0.17483037466231782,1.0,0.0
6,6,40.724874282038094,-73.99524316428571,1,0.9607843137254902,0.8333333333333333,0.3774771341463415,0.6257865618009555,0.058374649291716436,0.09999999999999998,0.4387755102040816
7,7,40.83711551891566,-73.87977426120482,0,1.0,0.0,0.0,0.9005678920531812,0.02577989269189172,1.0,0.11224489795918366
8,8,40.63216650114583,-74.0075945825,0,0.8235294117647058,0.0,0.0,0.926696832011894,0.2403162514706653,1.0,0.030612244897959183
9,9,40.72765337246753,-73.72209062337663,0,0.9607843137254902,0.0,0.0,0.8712982089246166,0.21962384831296242,1.0,0.0
10,10,40.702777231111114,-73.81555086805554,0,0.9411764705882353,0.0,0.0,0.9132461225129247,0.07237431852045736,1.0,0.13265306122448978
11,11,40.83765876138889,-74.20586318666666,0,0.9803921568627451,0.0,0.0,0.8622034222848881,0.08913878358196435,1.0,0.0
12,12,40.64921731311111,-74.21450007466667,0,1.0,0.0,0.0,0.8351896170563207,0.024521929492111797,1.0,0.0
13,13,40.82126371859757,-73.9535712372561,1,0.9411764705882353,0.7936507936507937,0.030270034843205576,0.9236049460082045,0.026745755156792086,0.6,0.2040816326530612
14,14,40.92453783738095,-73.84901862154761,0,1.0,0.0,0.0,0.9426353234907204,0.01438703953093104,1.0,0.0
15,15,40.756320492183335,-73.98380735963333,1,0.9411764705882353,0.7654320987654321,0.33553523035230354,0.7459864282861478,0.034413025023834844,0.37777777777777777,0.9999999999999999
16,16,40.632423032903226,-74.10685676887097,0,1.0,0.0,0.0,0.9505199738545693,0.041088540283414916,1.0,0.0
17,17,40.667274801615385,-73.9845509565,0,0.9411764705882353,0.8444444444444443,0.13109756097560976,0.8356169094396051,0.08226878719472173,0.3599999999999999,0.17346938775510204
18,18,40.730864420384606,-73.85723361394231,0,0.9607843137254902,0.8888888888888888,0.2530487804878049,0.9370071544205961,0.05485586041696661,0.19999999999999996,0.11224489795918366
19,19,40.64610571255814,-73.77798756449613,0,1.0,0.0,0.0,0.9098299301965287,0.03907104233122509,1.0,0.0
20,20,40.8707177525,-74.09943096945652,0,1.0,0.0,0.0,0.8094591536546724,0.13408726822254335,1.0,0.0
21,21,40.584953012528736,-73.95388573862068,0,0.9803921568627451,0.0,0.0,0.9042595783939976,0.0582585552286545,1.0,0.02040816326530612
22,22,40.926425285,-73.996270665,0,1.0,0.0,0.0,0.8862719840316577,0.09083503696677246,1.0,0.0
23,23,40.69034185706587,-73.96444825119761,0,0.9411764705882353,0.7999999999999999,0.07926829268292683,0.8550549469678408,0.070189316574134,0.52,0.17346938775510204
24,24,40.74313346028369,-73.91977152858156,0,0.9411764705882353,0.7555555555555555,0.05365853658536586,0.8650321917208774,0.09253126520770887,0.6,0.14285714285714285
25,25,40.770174663333336,-74.25702134888887,0,1.0,0.0,0.0,0.9604505022020295,0.023460344251734367,1.0,0.0
26,26,40.70321436644172,-73.92537875294478,0,0.9215686274509804,1.0,0.012957317073170733,0.8787252581688408,0.08604181399571266,0.6,0.21428571428571427
27,27,40.862919382262774,-73.89734337912408,0,0.9607843137254902,0.0,0.0,0.9211471249828341,0.07189686378405082,1.0,0.21428571428571427
28,28,40.902484918,-74.20078054033334,0,0.9803921568627451,0.0,0.0,0.8424518831850802,0.056411635208236846,1.0,0.0
29,29,40.70619497599415,-74.01240029675441,1,0.9607843137254902,0.6888888888888889,0.12240853658536585,0.7776250199500884,0.03268704538793353,0.3999999999999999,0.8061224489795917
30,30,40.81053570318841,-74.11788738681159,0,1.0,0.0,0.0,0.8622034222848881,0.09550273700751878,1.0,0.0
31,31,40.74038520813449,-74.00512403388285,1,1.0,0.7333333333333333,0.2079268292682927,0.7833534804775892,0.07751759340920829,0.3599999999999999,0.4183673469387755
32,32,40.846425474833325,-74.00184173033335,0,0.9607843137254902,0.857142857142857,0.07970383275261325,0.866276742040489,0.07882392931735219,0.3142857142857143,0.0
33,33,40.78876242538462,-73.72873890641027,0,1.0,0.0,0.0,0.7041272825386862,0.11194015008459253,1.0,0.0
34,34,40.7254720906,-74.2263250786,0,1.0,0.0,0.0,0.9604505022020295,0.10369674187569815,1.0,0.0
35,35,40.59074312857143,-73.80989594984128,0,0.9803921568627451,0.0,0.0,0.9239879076946285,0.10899081893737647,1.0,0.04081632653061224
36,36,40.75242368822581,-73.84664367225807,0,1.0,0.0,0.0,0.9338520723449438,0.0,1.0,0.07142857142857142
37,37,40.84822589857143,-73.78764529166666,0,1.0,0.0,0.0,0.9247654359670651,0.050167958954938946,1.0,0.0
38,38,40.778031931401614,-73.98050073466307,1,0.9215686274509804,0.6666666666666666,0.2939024390243903,0.6280281534864006,0.06799169811969169,0.19999999999999996,0.19387755102040816
