GEOID,XCoord,YCoord,A1subway,A1competition,A1rating,A1review,A1price,A1CF,A1rent
72,40.77205068,-73.86963967,0,0,0,0,0,0.00321615,45.94333333
73,40.6632302,-73.94622189,9,1,0,0,0,0.001774866,120
74,40.89670388,-73.97409486,0,0,0,0,0,0.001386995,40.16666667
75,40.7427745,-73.99123991,22,1,3.4,121.4,2,0.002310815,106.5444609
76,40.90246649,-73.86948577,0,0,0,0,0,0.005767843,28.5
77,40.91804619,-74.07703005,0,1,0,0,0,0.00272888,45.44333333
78,40.80921096,-74.07160752,0,0,0,0,0,0,52.75333333
79,40.57732699,-73.88633394,0,0,0,0,0,0.001794964,41.66666667
80,40.74038254,-74.03112835,0,2,3.3,142.6,1.4,0.00264032,107.5166667
81,40.75901572,-73.99074158,9,5,3.285714286,346.5,1.857142857,0.0019489,49.3190673
82,40.74160304,-73.90189535,7,4,3.714285714,48.71428571,1,0.007829998,19.5
83,40.73955939,-73.81766404,0,5,0,0,0,0.009830119,34.06666667
84,40.68389285,-73.82580452,10,0,0,0,0,0.003236066,34.06666667
85,40.60108726,-73.99351213,12,6,0,0,0,0.005501244,31.16666667
86,40.88762824,-74.15047238,0,0,0,0,0,0.00310053,62.23
87,40.78952905,-73.94756895,13,4,3.28,21.4,1.12,0.005937941,48.25581395
88,40.96687164,-74.06982654,0,0,0,0,0,0.001326338,71.57887701
89,40.77936276,-74.23296931,0,1,0,0,0,0.036722254,20.93333333
90,40.71593396,-73.99723456,13,51,3.635897436,249.6205128,1.256410256,0.051325288,89.1156682
91,40.85036736,-73.84941548,1,0,0,0,0,0.005639245,33.11
92,40.73047609,-73.69946324,0,0,0,0,0,0.006546077,55.37152778
93,40.70878077,-74.2492815,0,0,0,0,0,0.009627458,18.86
94,40.68722249,-73.7747985,0,1,0,0,0,0.010766107,34.06666667
95,40.68046252,-73.97724643,27,3,3.875,73.25,1.25,0.006796173,86.7840708
96,40.82530529,-73.82141187,0,1,0,0,0,0.004329841,37.21
97,40.70080936,-73.94630636,16,2,4.25,62.5,1.5,0.009791005,59.05
98,40.88056528,-74.06635352,0,0,0,0,0,0.004321757,57.77666667
99,40.81294843,-74.1580846,0,1,0,0,0,0.003901246,47.08
100,40.61075692,-73.92082183,0,1,0,0,0,0.005280608,30
101,40.76462559,-73.9575496,5,4,3.35,54.6,1.2,0.003849685,83.91034483
102,40.70983742,-73.86057083,0,2,0,0,0,0.003238101,27.38461538
103,40.74473901,-73.95388532,15,0,3,34,1,0.003590913,77
104,40.61991287,-74.02950004,8,1,0,0,0,0.004530315,50.5
105,40.72029434,-74.08786267,0,1,0,0,0,0.008716279,82.80333333
106,40.64391163,-73.9740267,16,1,0,0,0,0.006330215,50.09333333
107,40.82875107,-74.09806273,0,1,0,0,0,0.004894763,52.75333333
108,40.88480955,-73.90496285,11,1,0,0,0,0.003789098,44.5
109,40.67990144,-73.91702635,19,1,4,6,1,0.015047119,18
110,40.76204047,-73.9765026,23,4,3.5,656,2.142857143,0.004199709,134.2708333
111,40.66975478,-73.80729099,0,0,0,0,0,0.000304473,34.06666667
112,40.85158579,-73.97256769,0,2,3.666666667,116.6666667,1.666666667,0.003441513,45.91
113,40.85179917,-73.93288728,11,1,3.166666667,52.33333333,1,0.001802612,45.91
114,40.82253393,-73.89224955,26,4,0,0,0,0.03933179,27.85882353
115,40.94656402,-74.02623475,0,0,0,0,0,0.003544818,40.16666667
116,40.78993444,-74.05090679,0,0,0,0,0,0.002308315,52.75333333
117,40.90973444,-74.03245942,0,2,0,0,0,0.005989437,40.16666667
118,40.75338207,-74.02619118,0,2,3.25,38.5,1.5,0.004448268,47.08
119,40.8322055,-73.94497988,14,1,3.666666667,24,1,0.006429339,31.57666667
120,40.70697555,-73.78872817,24,1,0,0,0,0.003722222,34.06666667
121,40.87141018,-74.17790278,0,0,0,0,0,0.004515214,52.75333333
122,40.78471123,-73.81359209,0,0,0,0,0,0.002470537,36.21
123,40.75966403,-73.92604773,12,2,3.3,48.6,1.1,0.002881356,47.45491057
124,40.75272037,-73.72704004,0,0,0,0,0,0.002128575,34
125,40.68214989,-73.94735425,12,2,0,0,0,0.005881803,64.8
126,40.62713887,-74.14209065,0,0,0,0,0,0.003031159,18.20929204
127,40.90058679,-74.12232074,0,1,0,0,0,0.003651483,57.77666667
128,40.69212523,-74.17876155,0,0,0,0,0,0,18.86
129,40.8081857,-73.94788787,17,0,3.227272727,9.545454545,1,0.001243619,41.66666667
130,40.82498996,-73.98156289,0,0,3.833333333,92.33333333,2,0.002201832,41.11
131,40.63289663,-73.74314352,4,0,0,0,0,0.00077679,33.4
132,40.82979655,-73.9191999,32,4,0,0,0,0.007389112,32.365
133,40.95567921,-73.92823917,0,0,0,0,0,0,21.5
134,40.73559573,-73.99097674,16,2,3.333333333,369.9166667,1.583333333,0.00501108,294.735
135,40.97110372,-73.9633219,0,2,0,0,0,0.003706682,77.98031496
136,40.84778459,-74.22864705,0,0,0,0,0,0.005362377,47.08
137,40.70042228,-73.99062257,7,1,0,0,0,0.027035467,54.13297872
138,40.72016119,-73.76448292,0,0,0,0,0,0.02779663,34.06666667
139,40.96489073,-73.86621113,0,0,0,0,0,0.004360081,23.16923077
140,40.74358153,-74.25695253,0,0,0,0,0,0.000929808,18.86
141,40.85437475,-74.03650904,0,0,0,0,0,0.001637648,57.91
142,40.83693468,-73.70643453,0,0,0,0,0,0.000245518,101.6466667
143,40.63726185,-73.99116944,12,1,0,0,0,0.002961855,25.6
144,40.73356876,-73.87118697,9,3,4,50,1,0.005510315,26.5
145,40.60475575,-73.95795951,5,2,0,0,0,0.00519541,35
146,40.70339929,-73.90310283,15,1,4,27.8,0.8,0.005654175,47.6
147,40.72902759,-74.00676841,9,2,3.5,145.5,1.5,0.003964403,147.5
